UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@MrBeast,No takesies backsies,1.1M,23K,55K,https://twitter.com/MrBeast/status/1523674759925760000
@MrBeast,I bought a house before Halloween and gave it to a random Trick Or Treater :D,112K,6.4K,5.9K,https://twitter.com/MrBeast/status/1721568819309649950
@MrBeast,"I already know I’m gonna get canceled because I uploaded a video helping people, and to be 100% clear, I don’t care. I’m always going to use my channel to help people and try to inspire my audience to do the same",346K,14K,20K,https://twitter.com/MrBeast/status/1720840900283163032
@MrBeast,"We built 100 wells in Africa, Go Watch :D",116K,4.5K,6.7K,https://twitter.com/MrBeast/status/1720833473491988592
@MrBeast,We’ve spent over 8 months working on tomorrow’s video and it’s the greatest thing I’ve ever done! SO EXCITED FOR YOU ALL TO WATCH IT,101K,3.4K,3.2K,https://twitter.com/MrBeast/status/1720597748234231937
@MrBeast,We were digging up dinosaur fossils in the middle of the desert and I accidentally got my fingers caught under a giant bone and messed them up but instead of telling people that I’ve been saying I got in a fight and won because it’s easier to explain,105K,4.2K,3.2K,https://twitter.com/MrBeast/status/1717591871738773928
@MrBeast,I just got measured at 6’5. Why am I still getting taller in my 20s,144K,5.9K,4.1K,https://twitter.com/MrBeast/status/1716216114718408761
@MrBeast,I bought a house before Halloween and gave it to a random Trick Or Treater :D,112K,6.4K,5.9K,https://twitter.com/MrBeast/status/1721568819309649950
@MrBeast,Found these comments on an old video lol,161K,3.6K,3.6K,https://twitter.com/MrBeast/status/1713997169689038848
@MrBeast,"What’s interesting is it’s with a closed mouth thumbnail (thank gosh open mouth was cringe)

I screamed way less in the video lol

We slowed the video down a lot

Showed more of me and the boys being dumb

cut less than I normally do

And it seems like everyone liked the changes.…",36K,1.5K,924,https://twitter.com/MrBeast/status/1713586730257764713
@MrBeast,"We hit 200,000,000 subscribers!
If you traveled back in time and showed this screenshot to me when I was 13, there is 0 shot he’d believe it’s real haha",256K,9.5K,15K,https://twitter.com/MrBeast/status/1713405847089422378
@MrBeast,"Justin Timberlake, Miranda Cosgrove, Mark Cuban, and our biggest explosions yet are all in the new video! Go watch :D",53K,2.2K,2K,https://twitter.com/MrBeast/status/1713223378574692530
@MrBeast,Seems like everyone liked it,18K,1.2K,357,https://twitter.com/MrBeast/status/1711099988388855913
@MrBeast,"I won $10,000 in a board game tournament",120K,3.8K,3.3K,https://twitter.com/MrBeast/status/1711088934518702120
@MrBeast,When I had a few thousand subscribers I made a video predicting how many subscribers I’d have in 10 years and schedule it to manually go public in 10 years… that video goes live in two years from today,227K,3.9K,7K,https://twitter.com/MrBeast/status/1709945147767840830
