UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@SAS,Service Announcement: Beware of fake accounts impersonating SAS on X.,89,23,17,https://twitter.com/SAS/status/1708101258748305447
@SAS,"Every journey has a story to tell. Sometimes, it’s about discovering something new, other times it’s about reuniting with someone close to your heart. Just like the traveler in our latest film. So, where are you heading next? And who would you like to visit?",27,1,2,https://twitter.com/SAS/status/1721422285154791766
@SAS,Today we're opening a new seasonal route and heading to sunny Agadir,60,4,5,https://twitter.com/SAS/status/1720790522472583511
@SAS,Missed your chance to book a seat on our last commercial Boeing 737 flight? Head over to SAS' Instagram profile for your chance to win one of the last available spots on the flight.,181,6,25,https://twitter.com/SAS/status/1720110078550823345
@SAS,SAS EuroBonus won in the Best Elite Membership Benefits category at this year’s Frequent Traveler awards. Thank you for voting for us!,44,8,5,https://twitter.com/SAS/status/1705259087594692754
@SAS,We are proud to share that we have been awarded the Global 5-Star rating by APEX. This is made possible by the hard work and dedication of our entire SAS team. A big thank you to our colleagues around the company and to our travelers who voted for us,52,7,5,https://twitter.com/SAS/status/1704779189205737783
@SAS,"Where are you heading on your next journey? Are you eager to explore something new? Or perhaps you’re longing to relive an old memory, like the couple in our latest film?",41,7,7,https://twitter.com/SAS/status/1703650091431543106
@SAS,Did you spot the Run with EuroBonus jerseys on the streets of Copenhagen today?,23,2,2,https://twitter.com/SAS/status/1703386146858836146
@SAS,Run with SAS EuroBonus is at Tjejmilen in Stockholm today. We hope to see you there!,38,26,9,https://twitter.com/SAS/status/1697900740566569373
@SAS,"We are looking up with respect, toward the",39,16,8,https://twitter.com/SAS/status/1695791841247961540
@SAS,Our cabins are lit in rainbow colors on several flights bound for Copenhagen today. Because love is love - in the air and everywhere. Happy,90,34,17,https://twitter.com/SAS/status/1692850186207277512
@SAS,Our new app just won a,83,37,11,https://twitter.com/SAS/status/1650860026683359238
@SAS,Our app is nominated for,59,21,9,https://twitter.com/SAS/status/1643643673110872066
@SAS,Meet the Cabin Crew!,64,29,22,https://twitter.com/SAS/status/1636745465654812673
@SAS,Get ready for the spring with a trip to Amsterdam. Traveler tip: Visit when the tulip fields in Keukenhof are flowering in April and May.,15,19,5,https://twitter.com/SAS/status/1631324432613494786
@SAS,"Padrón peppers, matured cheeses and patatas bravas. Classic Spanish tapas are all well and good, but Alicante’s tapas scene has so much more to offer. Let us guide you to 7 unforgettable tapas dishes.",14,4,3,https://twitter.com/SAS/status/1630844112088846337
@SAS,"Atmospheric promenades, exquisite food and drink, memorable hotels, and day trips to Italy – Nice is the supreme destination for hopeless romantics.",20,5,3,https://twitter.com/SAS/status/1630599669045682176
@SAS,"Kari embarked on her last flight as Cabin Crew for SAS this Friday. She's been with us since the Caravelle days, and after 50 years of extraordinary service, she's now retiring. Thank you for your five decades of dedication, Kari!",670,15,55,https://twitter.com/SAS/status/1629783592749473792
@SAS,Rome offers a smorgasbord of culinary delights. This handy guide will help you eat like an emperor all day long.,19,2,2,https://twitter.com/SAS/status/1628787742401232897
@SAS,".@DSV_AS partners with SAS, and is thereby the first company in Denmark to sign an agreement within the SAS Corporate Sustainability Program.",11,2,2,https://twitter.com/SAS/status/1627938722292412417
@SAS,Dreaming of a trip to the world’s most romantic city this Valentine’s Day? We’ve got you covered with our très bon Paris playlist. Listen here:,17,5,3,https://twitter.com/SAS/status/1625404628064997377
@SAS,We're on our way to,185,15,19,https://twitter.com/SAS/status/1623749424982663169
@SAS,"Every flight tells a story. As the world's largest airline alliance, we come together to connect you with your loved ones, no matter how long the journey. So you'll always be close, even when you're thousands of miles apart.",19,13,4,https://twitter.com/SAS/status/1620451969721573377
@SAS,Happy holidays from all of us at SAS,106,25,8,https://twitter.com/SAS/status/1606299386375454720
@SAS,Proud to be a part of this important mission.,30,10,4,https://twitter.com/SAS/status/1565732681660366848
@SAS,"When we come together, greatness happens.",20,25,3,https://twitter.com/SAS/status/1554829651381342215
@SAS,Inaugural flight from Copenhagen to Toronto today. Looking forward to arriving in beautiful Canada!,150,67,22,https://twitter.com/SAS/status/1532387061382238209
@SAS,"The closer we are, the further we can go. Star Alliance connects you to a world of opportunities.",25,46,13,https://twitter.com/SAS/status/1517158902151860230
@SAS,"Starting June, we’ll be flying to Toronto from Copenhagen and Stockholm, provided we get the necessary authorization. Ticket sales will start soon! We’re curious - what’s your best tips for",181,29,36,https://twitter.com/SAS/status/1491014265222103051
@SAS,Welcome Åsa Viking – our new Airbus A321 Long Range!,841,36,109,https://twitter.com/SAS/status/1473277502940491784
@SAS,Step by step. Moment by moment. Star Alliance is here to help you make the connections that matter most.,20,14,1,https://twitter.com/SAS/status/1472938212700139521
