UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@Sidemen,"The money raised as of today by the charity match 

Thank you to everyone who has donated and made this possible",34K,242,1.7K,https://twitter.com/Sidemen/status/1700585077623673131
@Sidemen,What's been your favourite Sidemen moment of the last 10 years?,8.3K,208,262,https://twitter.com/Sidemen/status/1715005262707191997
@Sidemen,What a journey,27K,233,1.7K,https://twitter.com/Sidemen/status/1714974003381547255
@Sidemen,Live now on YouTube,499,9,2,https://twitter.com/Sidemen/status/1713609660379365841
@Sidemen,"In case you missed it... 
'SIDEMEN PRO CLUBS VS FULL XI' IS LIVE NOW ON MORESIDEMEN",5.7K,32,68,https://twitter.com/Sidemen/status/1712834279799959781
@Sidemen,Ethan making sure our guest felt welcome,12K,67,130,https://twitter.com/Sidemen/status/1712434074306900337
@Sidemen,Were they good butlers?,11K,82,110,https://twitter.com/Sidemen/status/1712086056646893763
@Sidemen,Who did it best?,32K,1.5K,551,https://twitter.com/Sidemen/status/1710293833232113943
@Sidemen,Which date was your favourite?,14K,162,156,https://twitter.com/Sidemen/status/1709571172008898853
@Sidemen,He’s him,47K,247,1.3K,https://twitter.com/Sidemen/status/1709161876200849838
@Sidemen,"Thank you for your patience 
We'll see you at 5 pm 
Trust us, it was worth the wait",58K,523,1.7K,https://twitter.com/Sidemen/status/1708813542126682538
@Sidemen,"Can’t believe it’s been 2 weeks since the charity match 
What a day it was",11K,41,232,https://twitter.com/Sidemen/status/1705571334451761583
@Sidemen,Grab yours here,185,1,5,https://twitter.com/Sidemen/status/1703027466137206828
@Sidemen,Our player announcements were brought to you by,453,4,6,https://twitter.com/Sidemen/status/1702353733131137167
@Sidemen,When KSI ruined Speed’s chance of scoring,13K,85,295,https://twitter.com/Sidemen/status/1702022651479302401
@Sidemen,Played at West Ham’s home ground,50K,126,1.2K,https://twitter.com/Sidemen/status/1701227637660602644
@Sidemen,When KSI ruined Speed’s chance of scoring,13K,85,295,https://twitter.com/Sidemen/status/1702022651479302401
@Sidemen,Still not over Max Fosh pulling out the uno reverse card,27K,112,912,https://twitter.com/Sidemen/status/1700898871059120481
@Sidemen,got his revenge this year,20K,80,435,https://twitter.com/Sidemen/status/1700891681694920855
@Sidemen,MANNY WITHT THE FIRST HAT-TRICK,4.8K,120,185,https://twitter.com/Sidemen/status/1700535342082703866
@Sidemen,Speed just can't find the mark,7.6K,92,154,https://twitter.com/Sidemen/status/1700534770193531157
@Sidemen,"Half time and it's even so far...
How do you see the rest of the game going?",30K,193,559,https://twitter.com/Sidemen/status/1700525898775105789
@Sidemen,CHUNKZZZZ COMING THROUGH FOR YTAS,5.7K,111,225,https://twitter.com/Sidemen/status/1700522333901914283
@Sidemen,CHUNKZZZZ COMING THROUGH FOR YTAS,5.7K,111,225,https://twitter.com/Sidemen/status/1700522333901914283
@Sidemen,Theo,23K,183,648,https://twitter.com/Sidemen/status/1700519646393147404
@Sidemen,CHRISMD!,5.4K,95,220,https://twitter.com/Sidemen/status/1700514277839278457
@Sidemen,"KSI
 sends for 
ishowspeedsui
 and 
NikoOmilana",6.2K,46,152,https://twitter.com/Sidemen/status/1700507653556908318
