UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@TrollFootball,"Every time Rasmus Hojlund has scored a goal, Manchester United have lost.",19K,249,1K,https://twitter.com/TrollFootball/status/1722555365026357427
@TrollFootball,Group A of Champions League,70K,440,4.3K,https://twitter.com/TrollFootball/status/1722532311290306868
@TrollFootball,Ronaldo fans are loving this Man United downfall,23K,316,1.3K,https://twitter.com/TrollFootball/status/1722386505535025385
@TrollFootball,Ciao Man United,40K,369,2.8K,https://twitter.com/TrollFootball/status/1722381396214157603
@TrollFootball,Man United fans watching a VAR decision go their way,8K,139,633,https://twitter.com/TrollFootball/status/1722368995091681510
@TrollFootball,"""That baldy still trusts me bro. Don't worry I will make sure he's gone before you.""",29K,234,2K,https://twitter.com/TrollFootball/status/1722360406679699927
@TrollFootball,Manchester United this season,39K,424,3.8K,https://twitter.com/TrollFootball/status/1722358491967324351
@TrollFootball,"Rashford in Champions League this season:

Goal/Assist: 0
Red Card: 1",27K,292,1.7K,https://twitter.com/TrollFootball/status/1722356228045603143
@TrollFootball,Accurate,69K,259,3.1K,https://twitter.com/TrollFootball/status/1722346626088395177
@TrollFootball,Royal Antwerp,23K,146,2.4K,https://twitter.com/TrollFootball/status/1722343728856039565
@TrollFootball,Real Madrid fans these days,19K,142,916,https://twitter.com/TrollFootball/status/1722336935731953952
@TrollFootball,"Tree vs Lewandowski

(",32K,370,1.7K,https://twitter.com/TrollFootball/status/1722293243121906096
@TrollFootball,What Chelsea needed to do against 9 man Tottenham,310,From,Anthony Shaw,https://twitter.com/TrollFootball/status/1722239115142615337
@TrollFootball,"AC Milan keeper Maignan: ""Babe wait there's a counter attack.""  

""Ahh do not end the call.. it's just Dembele.""",136K,686,9.1K,https://twitter.com/TrollFootball/status/1722207566799978984
@TrollFootball,Danylo Sikan scored against Barca and dropped the Bellingham celebration infront on them.,22K,222,1.1K,https://twitter.com/TrollFootball/status/1721969987739341253
@TrollFootball,Barca are losing to a club whose country has been at war since 18 months,73K,555,4K,https://twitter.com/TrollFootball/status/1721958224453042658
@TrollFootball,Chelsea showing everyone how to beat Tottenham,57K,817,9.3K,https://twitter.com/TrollFootball/status/1721949179113570488
@TrollFootball,The Karen of football clubs,26K,379,2.1K,https://twitter.com/TrollFootball/status/1721903931918532897
@TrollFootball,Chelsea after beating 9 man Tottenham,116K,1K,9.4K,https://twitter.com/TrollFootball/status/1721852246940438708
@TrollFootball,When you realise there's ANOTHER international break after this weekend,18K,246,1.8K,https://twitter.com/TrollFootball/status/1721846428501238258
@TrollFootball,When you realise there's ANOTHER international break after this weekend,18K,246,1.8K,https://twitter.com/TrollFootball/status/1721846428501238258
@TrollFootball,"Enzo, Caicedo, Mudryk, Jackson, Palmer, etc etc etc tasting top half of the Premier League for the 1st time since they joined Chelsea",37K,334,3.5K,https://twitter.com/TrollFootball/status/1721656627122569414
@TrollFootball,Nicolas Jackson scored a Premier League hattrick before Marcus Rashford,103K,1.1K,12K,https://twitter.com/TrollFootball/status/1721652716470935965
@TrollFootball,Chelsea wishes they could play Tottenham every week,57K,372,5.3K,https://twitter.com/TrollFootball/status/1721651444732858701
