UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@elonmusk,"𝕏 as humanity’s 
collective 
consciousness",207K,84K,79K,https://twitter.com/elonmusk/status/1692431667548528661
@elonmusk,Putting a wind generator on an electric also doesn’t work,88K,5.3K,7.2K,https://twitter.com/elonmusk/status/1719911692740481225
@elonmusk,AI safety is vital to the future of civilization,53K,6.8K,8.8K,https://twitter.com/elonmusk/status/1719685781780938769
@elonmusk,It would be a much better name!,269K,16K,25K,https://twitter.com/elonmusk/status/1719685418369593440
@elonmusk,Happy Halloween,266K,10K,16K,https://twitter.com/elonmusk/status/1719498110538264781
@elonmusk,Joe Rohan shatters an arrow on Cybertruck that would easily go through a normal car,293K,20K,23K,https://twitter.com/elonmusk/status/1719444510416032022
@elonmusk,Half-dressed as the wizard of Australia,94K,4.8K,14K,https://twitter.com/elonmusk/status/1719435974092931217
@elonmusk,"The real battle is between the extinctionists and the humanists.

Once you see it, you can’t unsee it.",373K,26K,71K,https://twitter.com/elonmusk/status/1719398881870356695
@elonmusk,"Having children should be incentivized, not be a financial penalty like it is in most countries!

We must create the next generation of humans or spiral into oblivion.",177K,20K,28K,https://twitter.com/elonmusk/status/1719390097731199148
@elonmusk,Finnish Presidential Debate on 𝕏,60K,5.1K,9K,https://twitter.com/elonmusk/status/1719372716455645255
@elonmusk,The bellwether has sounded,97K,6K,13K,https://twitter.com/elonmusk/status/1719241748910612663
@elonmusk,"Demented, but, in many ways, eerily accurate",7.2K,954,1.2K,https://twitter.com/elonmusk/status/1718551320930685164
@elonmusk,The,66K,5.1K,5.4K,https://twitter.com/elonmusk/status/1718522121004171486
@elonmusk,"I love getting Noted – proves that no one is free from being corrected!

This is obviously a joke meme, but there is more than a grain of truth to it. We should aspire to see things from the point of view of others.",50K,4.9K,4.1K,https://twitter.com/elonmusk/status/1718377971558363217
@elonmusk,ComStar Interdict,82K,12K,27K,https://twitter.com/elonmusk/status/1718207646958809509
@elonmusk,Your armor is a loincloth and a bucket,257K,12K,21K,https://twitter.com/elonmusk/status/1718195998504226910
@elonmusk,Maybe time’s just a construct of human perception. An illusion created by …,344K,55K,40K,https://twitter.com/elonmusk/status/1717989656485105994
@elonmusk,Extremely concerning,304K,20K,66K,https://twitter.com/elonmusk/status/1717386432401010872
@elonmusk,Early version of video & audio calling on 𝕏,88K,9.9K,17K,https://twitter.com/elonmusk/status/1717303305997566037
@elonmusk,Interesting,69K,5.9K,12K,https://twitter.com/elonmusk/status/1716593268329165003
@elonmusk,Posting this to my main timeline so more people see it,162K,10K,28K,https://twitter.com/elonmusk/status/1716565690956587024
@elonmusk,Join us for this discussion of the state of war in the world,54K,7.8K,10K,https://twitter.com/elonmusk/status/1716531403054055802
@elonmusk,"This book is an excellent explanation of why capitalism is not just successful, but morally right, especially chapter 4",127K,12K,25K,https://twitter.com/elonmusk/status/1716525258956542321
@elonmusk,Wake up and choose violins,155K,14K,20K,https://twitter.com/elonmusk/status/1716116870112203113
@elonmusk,I love Air On A G String,32K,4.5K,6.1K,https://twitter.com/elonmusk/status/1716116691673923861
@elonmusk,There needs comprehensive deregulation. Period.,170K,14K,57K,https://twitter.com/elonmusk/status/1715867608086348024
@elonmusk,Our civilization is being slowly strangled to death one regulation at a time,144K,11K,64K,https://twitter.com/elonmusk/status/1715865258643099877
@elonmusk,"𝕏 is open source news.

That is the right way to think about it. 

Excellent analysis by Sinofsky.",84K,9.1K,52K,https://twitter.com/elonmusk/status/1715403463524335831
@elonmusk,The articles printed in newspapers are quite literally yesterday’s news,201K,15K,60K,https://twitter.com/elonmusk/status/1715251398718210396
@elonmusk,"Two new tiers of X Premium subscriptions launching soon. 

One is lower cost with all features, but no reduction in ads, and the other is more expensive, but has no ads.",102K,16K,52K,https://twitter.com/elonmusk/status/1715249746753794305
@elonmusk,"At the risk of saying something controversial, Fallout New Vegas was a great game",191K,11K,57K,https://twitter.com/elonmusk/status/1715203914885169389
@elonmusk,This is crazy!,81K,6.6K,54K,https://twitter.com/elonmusk/status/1715034354059972876
@elonmusk,Interesting interview of,103K,8.9K,54K,https://twitter.com/elonmusk/status/1714931421901427112
@elonmusk,Love this feature,234K,14K,54K,https://twitter.com/elonmusk/status/1714817949326770292
@elonmusk,Can you beat hatred without a malignant heart?,137K,22K,16K,https://twitter.com/elonmusk/status/1713702225409614293
@elonmusk,I use both words a lot,222K,9.3K,20K,https://twitter.com/elonmusk/status/1713672720557203470
@elonmusk,Worth reading,61K,5.8K,7.7K,https://twitter.com/elonmusk/status/1713565491208262050
@elonmusk,Thanks for improving the accuracy of information!,91K,5.5K,10K,https://twitter.com/elonmusk/status/1713360588250735079
@elonmusk,Falcon Heavy,160K,7.7K,16K,https://twitter.com/elonmusk/status/1713114632347382252
@elonmusk,"To be fair, it was just most of the world",186K,13K,27K,https://twitter.com/elonmusk/status/1712509069070614845
@elonmusk,"To beat hatred, transform thyself",254K,23K,37K,https://twitter.com/elonmusk/status/1712506797024489621
@elonmusk,How many times did you die trying to beat hatred before winning?,170K,20K,21K,https://twitter.com/elonmusk/status/1712353202622894434
@elonmusk,This clip is 9 years old,348K,13K,70K,https://twitter.com/elonmusk/status/1712352657090707625
@elonmusk,"Regarding Lycurgus, founder of Sparta.

The pivotal moment in the creation of Sparta came when Lycurgus proposed radical laws that would transform the state into some of the greatest warriors in history.

A member of the assembly was so offended that he struck Lycurgus in the…",132K,15K,19K,https://twitter.com/elonmusk/status/1712136494020739198
@elonmusk,All Tesla Superchargers in Israel are free,5.1K,45K,393K,https://twitter.com/elonmusk/status/1712123400276095402
@elonmusk,Thank you for fighting for truth,2.2K,14K,134K,https://twitter.com/elonmusk/status/1711836000891138209
@elonmusk,Starlink now approved in Zambia,149K,7.6K,15K,https://twitter.com/elonmusk/status/1711225072009056665
@elonmusk,Taking the path to hatred is to fail,302K,24K,40K,https://twitter.com/elonmusk/status/1711139173870997885
@elonmusk,"Remember to add your notable posts to your “Highlights” tab. This is a good way to surface your replies that are otherwise buried deep in a conversation chain.

Soon, when you pin a post, it will automatically be added to your highlights as a convenience.",69K,5K,8.4K,https://twitter.com/elonmusk/status/1711072420923101302
@elonmusk,"As always, please try stay as close to the truth as possible, even for stuff you don’t like.

This platform aspires to maximize signal/noise of the human collective.",323K,20K,38K,https://twitter.com/elonmusk/status/1711056201474003308
@elonmusk,"Khamenei’s official position is clear that the eradication of Israel is the actual goal, not just supporting Palestinians.

That will not happen. All that actually happens, decade after decade, is a never-ending cycle of violence and vengeance.

Stoking the fires of hatred isn’t…",46K,8.7K,11K,https://twitter.com/elonmusk/status/1711054612046680459
@elonmusk,"Be stronger than those who hate you, so that they cannot destroy you, and then forgive them",54K,6.2K,9.2K,https://twitter.com/elonmusk/status/1710797402959974460
@elonmusk,"Sorry to see what’s happening in Israel.

I hope there can be peace one day.",597K,73K,67K,https://twitter.com/elonmusk/status/1710557783471305080
@elonmusk,The irony is that my company is making brain chips,332K,17K,29K,https://twitter.com/elonmusk/status/1710538090173837603
@elonmusk,I stole the Tesla product roadmap from Spaceballs,11K,1.2K,1.2K,https://twitter.com/elonmusk/status/1710415446313242941
@elonmusk,"Almost no extinctionists think of themselves this way explicitly – usually they shrouded themselves in moral superiority – but some do, like this guy who wants to genocide humanity:",20K,3.4K,5.3K,https://twitter.com/elonmusk/status/1710394306572251409
@elonmusk,Amazing that Ozempic is actually affecting,83K,7K,9.6K,https://twitter.com/elonmusk/status/1710387091530469791
@elonmusk,Very common experience. Schools need to change.,187K,8.6K,34K,https://twitter.com/elonmusk/status/1710384710898090383
@elonmusk,"Don’t want to brag, but this platform IS an ambi-turner",88K,4.9K,7.8K,https://twitter.com/elonmusk/status/1710165262501105894
@elonmusk,This platform can turn both right AND left hah!,11K,1.5K,1.4K,https://twitter.com/elonmusk/status/1710163508715786455
@elonmusk,Follow the money …,247K,10K,95K,https://twitter.com/elonmusk/status/1709701966362718645
@elonmusk,And also very much appreciate that ADL has bought advertising on 𝕏,12K,1.6K,32K,https://twitter.com/elonmusk/status/1709614034058711109
@elonmusk,Notes will now appear much faster,64K,4.3K,37K,https://twitter.com/elonmusk/status/1709481039293235601
@elonmusk,Thank you on behalf of the people of SpaceX for whom all credit is deserved!,101K,4K,40K,https://twitter.com/elonmusk/status/1709478694266302893
@elonmusk,"More affordable version (RWD) version of Model Y is now available. 

Note: it performs well on snow & ice with all-season or winter tires. AWD is nice to have, but not required for winter driving.",50K,4.5K,36K,https://twitter.com/elonmusk/status/1709478085035208929
@elonmusk,"Citizen journalism is the path to better future!

I strongly encourage people around the world to post news about events as they’re happening, in both text & video.",330K,18K,84K,https://twitter.com/elonmusk/status/1709475380715823349
@elonmusk,"I only have 0.4 donuts at a time, because my brain neural network quantizes it down to 0 donuts",130K,12K,40K,https://twitter.com/elonmusk/status/1709334118230524332
@elonmusk,"SpaceX is tracking to deliver ~1600 tons of payload to orbit this year. Rest of world will deliver ~400 tons, most of which is by China.",88K,5.7K,42K,https://twitter.com/elonmusk/status/1709285826574569490
@elonmusk,"I almost never read legacy news anymore. 

What’s the point of reading 1000 words about something that was already posted on 𝕏 several days ago?",267K,17K,61K,https://twitter.com/elonmusk/status/1709249243196580323
@elonmusk,Super easy to do live video – just tap the camera icon when you post on 𝕏,64K,3.8K,38K,https://twitter.com/elonmusk/status/1709248072713207920
@elonmusk,ice cream so good,14K,1.6K,1.4K,https://twitter.com/elonmusk/status/1709071917070549021
@elonmusk,"I reported to Bruce Leak, who, many years later, was one of the first to buy a Tesla",15K,794,1.2K,https://twitter.com/elonmusk/status/1709019900348428485
@elonmusk,Worth listening. These are important issues.,225K,12K,60K,https://twitter.com/elonmusk/status/1709004442421354504
@elonmusk,"As the mayor said, New York is running out of hotel rooms, so what’s next?",145K,19K,38K,https://twitter.com/elonmusk/status/1708882938459312422
@elonmusk,Worth listening. These are important issues.,225K,12K,60K,https://twitter.com/elonmusk/status/1709004442421354504
@elonmusk,"As the mayor said, New York is running out of hotel rooms, so what’s next?",145K,19K,38K,https://twitter.com/elonmusk/status/1708882938459312422
@elonmusk,"Tested the 𝕏 video game streamer system last night. It works!

Will try to complete a Tier 100 Nightmare dungeon tonight live on this platform.",156K,10K,18K,https://twitter.com/elonmusk/status/1708776354597003329
@elonmusk,"US Border Patrol just reported the highest number of recorded illegal immigrants in history at over 260,000 this month.

The full number, including unrecorded, may be over half a million per month, which is the population of Wyoming.",286K,23K,74K,https://twitter.com/elonmusk/status/1708170681123561626
@elonmusk,Beautiful long exposure at night looks like a laser beam from space,271K,9.7K,23K,https://twitter.com/elonmusk/status/1708052844899963224
@elonmusk,Hip-firing my Barrett 50 cal,919K,46K,81K,https://twitter.com/elonmusk/status/1707915765977055584
@elonmusk,Newspapers basically just report on what they read yesterday on X lmao,270K,13K,32K,https://twitter.com/elonmusk/status/1707864159784927270
