UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@imVkohli,Thanks to each one of you for your kind wishes.Grateful and Blessed.,5.9M,21K,252K,https://twitter.com/imVkohli/status/1721450997980291341
@imVkohli,"Deeply saddened to hear about the passing of Bishan Singh Bedi ji.
My condolences to the family",3.5M,8.5K,130K,https://twitter.com/imVkohli/status/1716436377150296392
@imVkohli,Usain paaji! Getting ready for tomorrow with a few extra 100m sprints if you’re watching,7M,7.7K,120K,https://twitter.com/imVkohli/status/1712802184197497285
@imVkohli,Blue has always looked good on me,3M,2.5K,40K,https://twitter.com/imVkohli/status/1709169897354494063
@imVkohli,I’m coming to winI am so excited to be joining the,3.1M,3K,42K,https://twitter.com/imVkohli/status/1709127951235850535
@imVkohli,"Get double the excitement with. A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @",1.6M,1.7K,23K,https://twitter.com/imVkohli/status/1708446377599246744
@imVkohli,I’m coming to winI am so excited to be joining the,3.1M,3K,42K,https://twitter.com/imVkohli/status/1709127951235850535
@imVkohli,.has launched the Lively Lychee flavour in a cool,1.5M,1.9K,28K,https://twitter.com/imVkohli/status/1708346001273315593
@imVkohli,I’m coming to winI am so excited to be joining the,3.1M,3K,42K,https://twitter.com/imVkohli/status/1709127951235850535
@imVkohli,"Get double the excitement with. A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @",1.6M,1.7K,23K,https://twitter.com/imVkohli/status/1708446377599246744
@imVkohli,Think this definitely is a% score. What do you guys think?,3.3M,4K,60K,https://twitter.com/imVkohli/status/1707705543702589452
@imVkohli,"Get double the excitement with. A new Lively Lychee flavor and an awesome promo to go with it.

Win Gear, match tickets, a chance to meet me and an assured free subscription to my One8 fitness app. 

Use VK10 for 10% off @",1.6M,1.7K,23K,https://twitter.com/imVkohli/status/1708446377599246744
@imVkohli,.has launched the Lively Lychee flavour in a cool,799,http://,0:36,https://twitter.com/imVkohli/status/1708346001273315593
@imVkohli,History-makers,3.7M,11K,197K,https://twitter.com/imVkohli/status/1706898505560981624
@imVkohli,"Recreated one of my favorite memories with vivo V29 Series. 
Participate incontest and stand a chance to win exciting prizes.
Upload the pic, tag",2.1M,3.2K,50K,https://twitter.com/imVkohli/status/1706171674390155372
@imVkohli,.has launched the Lively Lychee flavour in a cool,799,http://,0:03 / 0:39,https://twitter.com/imVkohli/status/1708346001273315593
@imVkohli,"I am thrilled to announce that one8 Commune is now coming to Gurgaon, and you're invited to be part of this incredible journey!

Join us in the spirit of communing from Sept 23 as we can't wait to share the love with you all!",2.9M,4.1K,69K,https://twitter.com/imVkohli/status/1704406809593942063
@imVkohli,"Recreated one of my favorite memories with vivo V29 Series. 
Participate incontest and stand a chance to win exciting prizes.
Upload the pic, tag",2.1M,3.2K,50K,https://twitter.com/imVkohli/status/1706171674390155372
@imVkohli,"I am thrilled to announce that one8 Commune is now coming to Gurgaon, and you're invited to be part of this incredible journey!

Join us in the spirit of communing from Sept 23 as we can't wait to share the love with you all!",2.9M,4.1K,69K,https://twitter.com/imVkohli/status/1704406809593942063
@imVkohli,"Hurry, it's your chance to prove that you're anlike me!

Share your favourite MRF experience with",1.6M,2.2K,35K,https://twitter.com/imVkohli/status/1701833916842463413
@imVkohli,"Your wardrobe can be your canvas too. Own it.

Get the Wrogn AW’23 looks here",1.6M,2.6K,45K,https://twitter.com/imVkohli/status/1700011077659169081
@imVkohli,"Being a hero is one part of the journey, but staying a hero is all about consistency. One needs to be strong inside as well as outside.

WELLMAN - daily nutritional support for strong men – Try it Today!",1.2M,1.6K,24K,https://twitter.com/imVkohli/status/1699648695405514988
@imVkohli,"I am thrilled to announce that one8 Commune is now coming to Gurgaon, and you're invited to be part of this incredible journey!

Join us in the spirit of communing from Sept 23 as we can't wait to share the love with you all!",2.9M,4.1K,69K,https://twitter.com/imVkohli/status/1704406809593942063
@imVkohli,"Hurry, it's your chance to prove that you're anlike me!

Share your favourite MRF experience with",1.6M,2.2K,35K,https://twitter.com/imVkohli/status/1701833916842463413
