UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@ishowspeedsui,history,136K,3.4K,3.8K,https://twitter.com/ishowspeedsui/status/1410059307454959618
@ishowspeedsui,it was fun while it lasted,163K,951,6.9K,https://twitter.com/ishowspeedsui/status/1719124557812961398
@ishowspeedsui,no way y’all robbed my nigga ksi kmt,175K,1.7K,8.1K,https://twitter.com/ishowspeedsui/status/1713332828698775896
@ishowspeedsui,"That's it. That seals the deal. I am no longer a United fan. I've been a United member since 1987 and a season ticket holder since 1999. I'm not going to renew my season ticket. Ten Hag and Onana are outlawed as of today. I will become a fan of Al Nassr now, where they actually…",220K,6.3K,20K,https://twitter.com/ishowspeedsui/status/1709312312144810046
@ishowspeedsui,i let you guys down bye,239K,6.8K,7.4K,https://twitter.com/ishowspeedsui/status/1700545958453383442
@ishowspeedsui,"who ever made the offside rule is so dumb, should be a rule in football.",66K,370,2.5K,https://twitter.com/ishowspeedsui/status/1600280066608418817
@ishowspeedsui,my response to racist  accusations,173K,3.1K,8.3K,https://twitter.com/ishowspeedsui/status/1600266239745544192
@ishowspeedsui,flew all the way to qtar bro no way they benched my Idol,224K,1K,6.6K,https://twitter.com/ishowspeedsui/status/1600203054883667995
@ishowspeedsui,no way ronaldo is on the bench,138K,1K,2.9K,https://twitter.com/ishowspeedsui/status/1600199886867091457
@ishowspeedsui,mbappe is better than messi.,141K,2.7K,8.1K,https://twitter.com/ishowspeedsui/status/1599445668455944194
@ishowspeedsui,can somebody please beat france their pissing me off,128K,1.7K,5K,https://twitter.com/ishowspeedsui/status/1599443398712512513
@ishowspeedsui,poland goalkeeper is doing steroids,109K,843,4K,https://twitter.com/ishowspeedsui/status/1598039985063858178
@ishowspeedsui,"If Messi thinks, I disagree.
If Messi speaks, I ignore.
If Messi fails, I’m happy.
If the world is against Messi, I am the world.
If Messi has 7 billion fans, I am none of them.
If Messi has no haters, it’s because I no longer exist.",179K,1.8K,14K,https://twitter.com/ishowspeedsui/status/1598034839277654022
@ishowspeedsui,messi just won im about to cry,124K,1.5K,3.6K,https://twitter.com/ishowspeedsui/status/1596607405516800000
@ishowspeedsui,fuck messi just scored,96K,1.2K,2.7K,https://twitter.com/ishowspeedsui/status/1596601773195923459
@ishowspeedsui,most trash game ever,103K,825,2.9K,https://twitter.com/ishowspeedsui/status/1596244739191230464
@ishowspeedsui,if USA Lose i become a Messi fan,130K,1.4K,3.1K,https://twitter.com/ishowspeedsui/status/1596232762780160000
@ishowspeedsui,USA IS BEATING ENGLAND,47K,880,1.3K,https://twitter.com/ishowspeedsui/status/1596216264338595840
@ishowspeedsui,who ever this guys is don’t ever disrespect the goat Ronaldo like that ever in ur life stop acting tuff on twitter,126K,1.4K,5.6K,https://twitter.com/ishowspeedsui/status/1595843065448742918
@ishowspeedsui,ronaldo is the goat i done ever wanna hear nothing about messi,114K,2K,7.2K,https://twitter.com/ishowspeedsui/status/1595835017598566400
@ishowspeedsui,i can’t believe ronaldo is gone,200K,2.1K,5.9K,https://twitter.com/ishowspeedsui/status/1595110043074330625
@ishowspeedsui,who was more offsides now,163K,1.3K,10K,https://twitter.com/ishowspeedsui/status/1595082534819348481
@ishowspeedsui,i woke up and seen messi lost to saudi arabia jajajajajajajajajajaj,200K,1.5K,9.9K,https://twitter.com/ishowspeedsui/status/1595080519808847872
@ishowspeedsui,i went to a ronaldo game and he’s not here,170K,2.1K,4.8K,https://twitter.com/ishowspeedsui/status/1591825597097025539
@ishowspeedsui,let’s go baby,35K,666,776,https://twitter.com/ishowspeedsui/status/1591494689001193474
@ishowspeedsui,so good,184K,1K,5K,https://twitter.com/ishowspeedsui/status/1591494540661297156
@ishowspeedsui,january 21st,216K,1.8K,11K,https://twitter.com/ishowspeedsui/status/1591165633282347008
@ishowspeedsui,i’m crying right now i flew all the way to manchester to see ronaldo and he not playing,281K,2.8K,11K,https://twitter.com/ishowspeedsui/status/1590788123822546944
@ishowspeedsui,SEWEYYYY,68K,628,2.8K,https://twitter.com/ishowspeedsui/status/1585733102160457728
@ishowspeedsui,join this,10K,201,233,https://twitter.com/ishowspeedsui/status/1582460511987257345
@ishowspeedsui,i’m going to win,289K,1.4K,19K,https://twitter.com/ishowspeedsui/status/1582083129119977473
@ishowspeedsui,"I have no girlfriend, friends, family all i do is stream I have officially decided to dedicate my life to defending Cristian Ronaldo. My one and only goal is to make sure everyone calls him the GOAT. I don’t care about my personal life as long as Ronaldo is known as the GOAT",276K,3K,18K,https://twitter.com/ishowspeedsui/status/1581710710546931712
@ishowspeedsui,jajaja man city u suck,71K,721,2.7K,https://twitter.com/ishowspeedsui/status/1581699379291099138
@ishowspeedsui,this the reason u don’t get girls now if that was me i’m licking all of that,31K,523,1.4K,https://twitter.com/ishowspeedsui/status/1580966787407294464
@ishowspeedsui,merch out now -,7.9K,249,208,https://twitter.com/ishowspeedsui/status/1580651860285100033
@ishowspeedsui,i own you lil bro,483K,1.5K,21K,https://twitter.com/ishowspeedsui/status/1573772353187856387
@ishowspeedsui,world cup baby’s,258K,828,8.6K,https://twitter.com/ishowspeedsui/status/1573724949923119108
@ishowspeedsui,how is that offside please explain,486K,3K,38K,https://twitter.com/ishowspeedsui/status/1573719716711043074
@ishowspeedsui,"what a shitty ref, clearly a goal",141K,1.2K,6.5K,https://twitter.com/ishowspeedsui/status/1573711170699239427
@ishowspeedsui,i’m ready,234K,854,8.4K,https://twitter.com/ishowspeedsui/status/1573672046747426818
@ishowspeedsui,LETS GO,252K,1.1K,11K,https://twitter.com/ishowspeedsui/status/1573614367693733888
@ishowspeedsui,i love london,65K,578,879,https://twitter.com/ishowspeedsui/status/1573034332436197382
@ishowspeedsui,i will be now streamibg on tiktok for now at 6pm london time  1:00pm est and 10am pst,40K,490,611,https://twitter.com/ishowspeedsui/status/1572972496462151682
@ishowspeedsui,423,40K,647,30K,https://twitter.com/ishowspeedsui/status/1572530783218466817
@ishowspeedsui,the stream was the one from 2 days ago,11K,50,93,https://twitter.com/ishowspeedsui/status/1572531918562004992
@ishowspeedsui,London please add flavor to ur food,145K,883,6.4K,https://twitter.com/ishowspeedsui/status/1572305979869634561
