UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@sundarpichai,"New features on Search and Lens to help learners get a deeper understanding of math and science topics on Search, including step-by-step explanations and solutions for math problems, help with physics word problems + new 3D models of science topics.",1.3K,72,206,https://twitter.com/sundarpichai/status/1719464988119613930
@sundarpichai,Today we’re building on our commitment to safe + secure AI with the first bug bounty program specific to generative AI. We’re also expanding our open source security work to make info about AI supply chain security universally discoverable and verifiable.,684,81,121,https://twitter.com/sundarpichai/status/1717691479991410986
@sundarpichai,AI is making it easier to explore and navigate with,1.1K,51,156,https://twitter.com/sundarpichai/status/1717682000428220519
@sundarpichai,Important to call out and stand against antisemitism at this terrible moment. It’s never acceptable. Proud to sign this commitment to raise awareness and condemn this historic evil.,5.1K,702,977,https://twitter.com/sundarpichai/status/1712287474242982008
@sundarpichai,"Deeply saddened by the terrorist attacks in Israel this weekend and the escalating conflict underway. Google has 2 offices and over 2,000 employees in Israel. It’s unimaginable what they’re experiencing. Our immediate focus since Saturday has been on employee safety. We’ve now…",12K,402,1.5K,https://twitter.com/sundarpichai/status/1711814868985413907
@sundarpichai,"We’re also rolling out Android 14 this week, starting on Pixel. Big focus was on improving performance + efficiency of the platform, along with more customization options and accessibility features. The team made me this bugdroid to celebrate:)",2.1K,124,277,https://twitter.com/sundarpichai/status/1710037625346609418
@sundarpichai,"So excited to see Pixel 8, Pixel 8 Pro, Pixel Buds Pro, Pixel Watch 2 + our new G3 Tensor unveiled at",7.4K,367,848,https://twitter.com/sundarpichai/status/1709587317248217388
@sundarpichai,"More news today from Chromebooks: we’re introducing Chromebook Plus! This new category of Chromebooks has 2x the processing power, along with AI-powered tools, a 1080p camera, Adobe Photoshop + more. Biggest change we’ve made to Chromebooks yet.",2.2K,135,311,https://twitter.com/sundarpichai/status/1708971042318713174
@sundarpichai,We’re partnering with HP to manufacture Chromebooks in India - These are the first Chromebooks to be made in India and will make it easier for Indian students to have access to affordable and secure computing.,22K,540,3.3K,https://twitter.com/sundarpichai/status/1708675924584222736
@sundarpichai,Sending condolences to Sen. Feinstein’s family and all those mourning her passing. She was an incredible leader and trailblazer and we thank her for her decades of service to California.,920,60,49,https://twitter.com/sundarpichai/status/1707891578076086519
@sundarpichai,Happy 25th birthday,39K,1.4K,4.7K,https://twitter.com/sundarpichai/status/1706889998040211599
@sundarpichai,"Bem Vinda, Nuvem! We’re collaborating on a new transatlantic subsea cable Nuvem, which means ""cloud"" in Portuguese. It will connect Portugal, Bermuda, and the US, helping to provide digital services and new opportunities for local economies.",974,88,138,https://twitter.com/sundarpichai/status/1706422871910985993
@sundarpichai,"Unbearably sad to lose Luiz. He was behind so many of Google’s technical achievements, writing the book on our data centers, leading the design of our computing infrastructure, and so much more. He was at the top of his field, earning ACM’s highest honor in computer architecture.…",5.5K,192,461,https://twitter.com/sundarpichai/status/1705068406901231913
