UserId,Tweets,Likes,Comments,Retweets,Tweet_Url
@tim_cook,"This Native American Heritage Month, we celebrate and recognize the rich cultures and traditions of Native communities and their countless contributions to our world.",2.4K,236,242,https://twitter.com/tim_cook/status/1719801176622022976
@tim_cook,"Introducing the new MacBook Pro lineup and iMac with the most advanced chips ever built for a personal computer. Say hello to M3, M3 Pro, and M3 Max—the latest breakthroughs in Apple silicon!",20K,980,3K,https://twitter.com/tim_cook/status/1719160580182020537
@tim_cook,"We’ve got something special for you tonight. No tricks, just treats. Tune in at 5pm PT.",48K,1.4K,4.2K,https://twitter.com/tim_cook/status/1719021344854069441
@tim_cook,"Apple has a 40-year history in the UK, so we were honored to have a chance to restore the Battersea Power Station and make it the location of our UK headquarters and our newest store, Apple Battersea! Thank you to our customers—and the incredible teams who support them!",6.6K,203,451,https://twitter.com/tim_cook/status/1707389354644025436
@tim_cook,"Thanks to investments in renewable energy projects like this solar farm in Thisted Denmark, Apple has been running on 100% renewable energy since 2018. We plan to be carbon neutral for all of our products by 2030.",6.2K,231,482,https://twitter.com/tim_cook/status/1707122421029810351
@tim_cook,Europe's developers are tackling climate change creatively!,4.8K,178,396,https://twitter.com/tim_cook/status/1706962193680318672
@tim_cook,Thank you to,14K,334,586,https://twitter.com/tim_cook/status/1706742184836227513
@tim_cook,Great to connect with team members and customers at Apple Brussels!,10K,300,592,https://twitter.com/tim_cook/status/1706609678522658865
@tim_cook,"As a lifelong cycling fan, it was an honor to meet Jumbo-Visma’s Riejanne Markus and",6.5K,215,470,https://twitter.com/tim_cook/status/1706363795478634683
@tim_cook,"iPhone is the best mobile gaming platform in the world, and we’re glad to have developers like",4.3K,225,371,https://twitter.com/tim_cook/status/1706336009430995086
@tim_cook,Great meeting with the team at,4.1K,140,373,https://twitter.com/tim_cook/status/1706321072520364338
@tim_cook,"Loved celebrating our incredible new lineup of products today at Apple Fifth Avenue. Around the world, the all-new iPhone 15 family, first carbon-neutral models of Apple Watch, and the latest AirPods are here, and they’ve never been more essential!",9.7K,417,1K,https://twitter.com/tim_cook/status/1705258046681686288
@tim_cook,World-renowned photographers Stephen Wilkes and Reuben Wu show us creativity is limitless with iPhone 15 Pro Max. Their vivid photos display breathtaking views from the beauty of summer in Rhode Island to the other-worldly deserts of Utah. Thank you for showing me your work.,7.9K,391,665,https://twitter.com/tim_cook/status/1705038087284518937
@tim_cook,"To all those celebrating Rosh Hashanah, wishing you a happy New Year!",6.9K,445,408,https://twitter.com/tim_cook/status/1702789389930099021
@tim_cook,"At Apple, we believe that climate change is one of the world’s most urgent priorities and we are deeply committed to doing our part. Today we had a special guest—a real force of nature—stop by to check on our progress.",62K,20K,15K,https://twitter.com/tim_cook/status/1701732427897491578
@tim_cook,"Today we announced Apple’s first carbon neutral products with models of Apple Watch Series 9, Ultra 2, and SE. By 2030, all of our products will be carbon neutral!",15K,1.1K,1.7K,https://twitter.com/tim_cook/status/1701702226602004968
@tim_cook,"Meet iPhone 15 Pro & Pro Max! Powered by A17 Pro, which ushers in a new era of Apple Silicon, these products unlock new performance capabilities, amazing photography, next-level gaming, and more. And with an all-new titanium design, they're our lightest weight Pro models yet!",62K,2.7K,9.3K,https://twitter.com/tim_cook/status/1701664311779713306
@tim_cook,It’s almost Time! See ya soon!,135K,2.4K,10K,https://twitter.com/tim_cook/status/1701596527347761222
@tim_cook,"Our hearts go out to all of those in Morocco impacted by the terrible earthquake. We’re thinking about you, and Apple will be making a donation to relief efforts on the ground.",17K,550,1.8K,https://twitter.com/tim_cook/status/1700678634107748847
@tim_cook,Great day in Austin — stopped by Apple Domain NORTHSIDE and got to visit with our teams at Parmer Lane and Austin Campus 2!,8.1K,350,524,https://twitter.com/tim_cook/status/1699956283464729033
@tim_cook,"Jimmy Buffet was a great entertainer who helped us hear the music of life. He’ll be sorely missed, and I hope he‘s found that lost shaker of salt.",6.9K,313,505,https://twitter.com/tim_cook/status/1698015266456653994
@tim_cook,We opened our newest store in London this week—Apple Battersea—just below our new UK headquarters!,5.8K,371,491,https://twitter.com/tim_cook/status/1669711819823251457
@tim_cook,"At Apple, we’ve long believed each of us has a role to play in building a more just and equitable world. I’m proud of the impact we’ve made through our Racial Equity and Justice Initiative and we will continue to do our part in this most urgent work.",3K,334,365,https://twitter.com/tim_cook/status/1669004952574763010
@tim_cook,The new 15-inch MacBook Air is available today! We think you’re going to love it!,9.2K,482,961,https://twitter.com/tim_cook/status/1668619231590748160
@tim_cook,What an incredible WWDC! Thank you to developers from around the world who joined us in person and virtually for a truly unforgettable week!,11K,452,1K,https://twitter.com/tim_cook/status/1667190281886912512
@tim_cook,The new MacBook Air is the world’s best — and thinnest — 15-inch laptop. It’s in a class all its own!,15K,667,2.1K,https://twitter.com/tim_cook/status/1666099857621385216
