css-4rbku5 href 2,UserId,Tweet_Url,Date-time,Tweets,css-4rbku5 href 6,Comments,Retweets,Likes,Impressions,css-4rbku5 3
,@BarackObama,https://twitter.com/BarackObama/status/1721597427818410471,11h,"Progress in Virginia is at stake in this election—and there's no time to waste. Every single seat in the Virginia General Assembly will be on the ballot tomorrow, November 7th, so make a plan to vote and find your polling place at",https://twitter.com/BarackObama/status/1721597427818410471/photo/1,9.4K,14K,47K,8.4M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1721177408869404749,Nov 5,"For eight years,",,27K,18K,103K,17M,@POTUS
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1720902753881366930,Nov 5,"15 years ago today, I asked you to believe in the change we could create together—and you did. I’m so proud of our Obama alumni, many of whom we saw this week, for carrying that mission forward.",,18K,30K,210K,19M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1719072368524476556,Oct 31,"Artificial Intelligence has the potential to change the way we work, learn, and create. I'm glad to see",https://t.co/GFU8KFdKgB,12K,14K,80K,10M,@POTUS
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1717655783742026061,Oct 27,"There are important elections happening right now in states across the country. This Vote Early Day, make sure you're registered to vote at",https://twitter.com/BarackObama/status/1717655783742026061/photo/1,12K,22K,123K,12M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1716524464643375138,Oct 24,I wanted to share some thoughts on what’s happening right now in Israel and Gaza.,https://twitter.com/BarackObama/status/1716524464643375138/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1716524468636409900,Oct 24,"""A Timeline of Israel and Palestine’s Complicated History"" by Nicole Narea",https://twitter.com/BarackObama/status/1716524468636409900/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1716524469945053611,Oct 24,"""Gaza: The Cost of Escalation"" by Ben Rhodes",https://t.co/KtFYnT5YDa,1K,815,3.3K,1.3M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1716524467336118688,Oct 24,"""I Love You. I Am Sorry’: One Jew, One Muslim and a Friendship Tested by War"" by Kurt Streeter",https://t.co/H96jbzMmIe,278,534,2.6K,719K,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1715103480300364103,Oct 20,"Ohio, there’s an important election happening right now. 

If you want to protect abortion rights by making them part of your state Constitution, vote yes on Issue 1. 

Visit",https://twitter.com/BarackObama/status/1715103480300364103/analytics,and make your plan to vote before November 7th.,read image description,ALT,and,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1715103481915212179,Oct 20,"And if you’re looking for ways to get involved, join the",https://t.co/jZXsNr668H,817,853,2.5K,796K,@OHDems
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1714832306769186899,Oct 19,"Congrats to our back-to-back champs,",,4.8K,14K,173K,28M,@LVAces
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1710327900375814347,Oct 6,"On November 3, I’ll be joining the",https://twitter.com/BarackObama/status/1710327900375814347/photo/1,10K,11K,65K,10M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1710304150813127092,Oct 6,"In Chicago, Dick Butkus was football. Thinking of his family today, and all the Bears fans who loved watching one of the best to ever play the game.",https://twitter.com/ChicagoBears/status/1710063847359287777/photo/1,4.3K,15K,173K,40M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1709215172105994505,Oct 3,"Happy anniversary, sweetheart!",https://twitter.com/BarackObama/status/1709215172105994505/photo/1,41K,73K,1.2M,61M,@MichelleObama
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1708470634739540297,Oct 1,"Happy 99th birthday, President Carter! You’ve inspired so many people around the world with your leadership, character, and commitment to service. Michelle and I hope you have a wonderful birthday and send our best wishes to you and Rosalynn.",https://twitter.com/BarackObama/status/1708470634739540297/photo/1,12K,48K,497K,29M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1707783159813755343,Sep 29,"Dianne Feinstein will be rightly remembered as a trailblazer—the first woman to serve as mayor of San Francisco and the first woman elected to the Senate from California. But once she broke those barriers and walked through those doors, she got to work.

I first got to know…",,14K,22K,176K,22M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1704220842878533952,Sep 20,"Great news — starting today, Pennsylvania will begin automatic voter registration for folks getting a driver's license or state ID card at the DMV. Hopefully even more states will follow.",https://t.co/xg5G6MIYwI,18K,26K,167K,15M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1704176201101644108,Sep 19,"If you want your representatives to support the issues you care about, it’s important to show up to vote in every election.

This National Voter Registration Day, register or update your voter registration at",https://twitter.com/BarackObama/status/1704176201101644108/photo/1,5.9K,19K,62K,6.6M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1703051865355600374,Sep 16,"Fourteen years ago, when the big three automakers were struggling to stay afloat, my administration and the American people stepped in to support them. So did the auto workers in the UAW who sacrificed pay and benefits to help get the companies back on their feet. Now that our…",,19K,34K,201K,26M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1698106459546898915,Sep 3,"As a member of Congress, a Cabinet member, a Governor, and as an Ambassador, Bill Richardson was one of the most distinguished public servants of our time. He was a tireless diplomat, the type of advocate who brought a glimmer of hope – and in many cases freedom – to those…",,5.5K,12K,105K,11M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1697323496374681787,Sep 1,"This week, the Biden-Harris administration announced a major step forward in the fight for affordable health care. Starting in 2026, folks on Medicare will pay less for 10 essential medications—with more to come—all thanks to the Inflation Reduction Act.",https://t.co/cGLCVQ7bvx,990,874,4K,813K,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1696207336660959291,Aug 28,"Sixty years ago, the March on Washington for Jobs and Freedom showed us what's possible when ordinary people come together to push for change. Now it’s up to all of us to protect and build on that progress, and create a better future for generations to come.",,7.5K,15K,76K,11M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1695227256258334895,Aug 26,I'm proud of the progress that,https://t.co/qfRwaLwxs3,11K,13K,73K,12M,@DemRedistrict
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1694380675959263649,Aug 23,"Poll workers help keep our democracy alive by making sure elections run smoothly and voters can safely exercise their right to vote.

This Poll Worker Recruitment Day, sign up to become a poll worker in your community at",https://twitter.com/BarackObama/status/1694380675959263649/photo/1,10K,13K,72K,9.8M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1693998705467445688,Aug 22,"Through the Voyager Scholarship, Michelle,",https://twitter.com/BarackObama/status/1693998705467445688/photo/1,3.4K,6.1K,31K,7.5M,@BChesky
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1693265531829108796,Aug 20,Congrats to Spain on their first,,7.3K,31K,373K,47M,@FIFAWWC
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691929698765324298,Aug 17,It’s now been one year since,https://twitter.com/BarackObama/status/1691929698765324298/analytics,signed the Inflation Reduction Act into law—lowering health care costs for families and investing in our future by accelerating the transition to clean energy.,,,,@POTUS
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691930139494350885,Aug 17,"This matters. The heatwaves in the Southwest, the floods in the Northeast, and the devastating wildfires we’ve seen across the country and in my home state of Hawai’i are all reminders that the climate crisis is here. By 2030, the Inflation Reduction Act could help cut carbon…",https://twitter.com/BarackObama/status/1691930139494350885/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691930141537059277,Aug 17,Joe Biden and Kamala Harris are working every day to deliver a better future and grow the middle class—and the Inflation Reduction Act is an example of the groundbreaking investments they’ve made since taking office. Here’s to another historic year.,,1K,846,4.5K,875K,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691519341706051586,Aug 16,"If you’re looking for more ways to support folks in Lāhainā and on Maui, I hope you’ll consider donating to these local organizations that are providing direct support on the ground:",,10K,22K,81K,8.4M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691250773579952128,Aug 15,It will take all of us coming together and doing what we can to help those in need in Maui and Lāhainā right now. I hope you’ll join me in donating to the Hawai'i Red Cross today:,,18K,32K,179K,15M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1691205195282214912,Aug 15,Michelle and I will always be grateful for Clarence’s friendship and wise counsel. Our thoughts are with his family and everyone whose life was touched by a truly remarkable man.,https://twitter.com/BarackObama/status/1691205195282214912/photo/1,3.9K,10K,89K,9.7M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1687882237318946816,Aug 5,"Michelle and I are heartbroken to hear about the passing of our friend Charles Ogletree. He was an advocate for social justice, an incredible professor, and a mentor to many – including us. Our thoughts are with his wife Pamela, his entire family, and everyone who knew and loved…",https://twitter.com/BarackObama/status/1687882237318946816/photo/1,8.6K,10K,81K,9M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1687511710339407874,Aug 4,"Four years ago, I teamed up with",https://twitter.com/BarackObama/status/1687511710339407874/analytics,to launch,,,". The goal was to take on gerrymandering and make democracy more representative.

Since then, they’ve made incredible progress – including helping secure what is by some measures the fairest congressional map in…",@EricHolder
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1687512224770793480,Aug 4,"In Moore v. Harper,",https://twitter.com/BarackObama/status/1687512224770793480/analytics,"’s fair maps movement helped prevent politicians from weakening our system of checks and balances. In Allen v. Milligan, it helped protect Section 2 of the Voting Rights Act, requiring states and local governments to have equal voting procedures…",read image description,ALT,read image description,@AllOnTheLine
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1687512362750722048,Aug 4,"This is real progress, but in order to protect our democracy we need to keep showing up. I hope you’ll support",https://t.co/0ToAnuR6D9,670,1.3K,5.7K,799K,@AllOnTheLine
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1686369123385716736,Aug 1,We’re just beginning to see what the next generation of leaders can accomplish. Congratulations to the 100,,2.1K,1.7K,9.9K,3.1M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1682530202469974016,Jul 22,Good luck to the incredible,,2.9K,4.9K,56K,5.2M,@USWNT
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1682450540578459652,Jul 21,"Tony Bennett was an iconic songwriter and entertainer who charmed generations of fans. He was also a good man—Michelle and I will always be honored that he performed at my inauguration. We're thinking of his wife Susan, his kids, and everyone who is missing him today.",https://twitter.com/BarackObama/status/1682450540578459652/photo/1,3.2K,11K,116K,7.3M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1682133479037841414,Jul 21,"Like I do every year, here are some songs I’ve been listening to this summer — a mix of old and new. Look forward to hearing what I’ve missed.",https://twitter.com/BarackObama/status/1682133479037841414/photo/1,15K,47K,241K,51M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1682057935810117635,Jul 20,Here’s some books that I’m reading this summer. Check them out and let me know what I should be reading next.,https://twitter.com/BarackObama/status/1682057935810117635/analytics,,read image description,ALT,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1682057937395539974,Jul 20,"With so many books being banned across the country,",https://twitter.com/BarackObama/status/1682057937395539974/photo/1,1.1K,2.5K,7.8K,1.2M,@DPLA
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1677378008951189504,Jul 7,"Meet Randi — a young woman working as a home care aide and raising her daughter in rural Mississippi. I had the chance to talk with Randi, and you can hear her story as part of",,3.6K,6.9K,40K,4.5M,@HGMedia
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1677075431462260736,Jul 7,Here’s the advice I shared with Malia about what progress looks like – and the work we can do right now to make a difference.,https://twitter.com/BarackObama/status/1677075431462260736/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1677075548948910085,Jul 7,You can watch more from my conversation with Hasan Minhaj as we talk about everything from democracy to staying hopeful in difficult times:,,471,534,2.9K,1.2M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1676705937518735360,Jul 6,"While I was in Athens, I spent time with a remarkable group of leaders from the",https://twitter.com/BarackObama/status/1676705937518735360/photo/1,3.7K,6.1K,65K,5.8M,@GirlsAlliance
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1676229602061045763,Jul 4,"Happy birthday to this talented, hilarious, and beautiful young woman. Malia, I hope 25 brings you everything you’re looking for and more.",https://twitter.com/BarackObama/status/1676229602061045763/photo/1,15K,26K,504K,33M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1676215090482126848,Jul 4,"Happy Fourth of July, everybody.

Today and every day, Michelle and I are grateful to our troops and their families for their sacrifice, courage, and strength.",,10K,12K,128K,11M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1674442710927785989,Jun 29,"Affirmative action was never a complete answer in the drive towards a more just society. But for generations of students who had been systematically excluded from most of America’s key institutions—it gave us the chance to show we more than deserved a seat at the table. 

In the…",https://twitter.com/BarackObama/status/1674442710927785989/analytics,Michelle Obama,Quote,@MichelleObama,·,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1674442779374637056,Jun 29,"So, if you’re looking for ways to help right now, here are some organizations doing important work:",https://t.co/kFSoVoeXkT,1.5K,3.6K,14K,1.7M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1674113527236403200,Jun 28,"Around the world,",,3.4K,4.5K,32K,3.9M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1674113527236403200,Jun 28,"Around the world,",,3.4K,4.5K,32K,3.9M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1673704780139761664,Jun 27,"Today, the Supreme Court rejected the fringe independent state legislature theory that threatened to upend our democracy and dismantle our system of checks and balances.",https://twitter.com/BarackObama/status/1673704780139761664/analytics,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1673704784849944577,Jun 27,"This ruling rejects the far-right theory that threatened to undermine our democracy, and makes clear that courts can continue defending voters' rights—in North Carolina and in every state. Thanks to",,1.2K,2K,16K,1.5M,@RedistrictFdn
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1673479387428147201,Jun 27,"Jim Crown was a pillar of Chicago who cared deeply about making our city a place where everybody can thrive. Michelle and I were also very lucky to call him a dear friend. We're heartbroken today, and we send our love to Paula and their wonderful family in this difficult time.",https://twitter.com/BarackObama/status/1673479387428147201/photo/1,2.7K,4.5K,36K,6M,
,,,,,,,,,,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1672999078358286336,Jun 25,"I’m inspired by the courageous Africa, Asia-Pacific, and Europe",,6.5K,7.4K,56K,6.5M,@ObamaFoundation
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670797536456482818,Jun 19,"On Juneteenth, we commemorate the anniversary of the delayed but welcome news of freedom reaching the enslaved Black folks in Galveston, Texas. It’s a reminder that even in the darkest hours, there is cause to hope — and a reason to keep building a country that lives up to its…",,12K,19K,128K,15M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670462246407864320,Jun 18,"Happy Father’s Day to all those fortunate enough to take on the role of being a dad or father-figure. To Malia and Sasha, being your dad will always be the greatest gift of my life.",https://twitter.com/BarackObama/status/1670462246407864320/photo/1,19K,34K,593K,39M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1670448392240070658,Jun 18,"To Joseph and all of the dads working to make a difference in the lives of our young people, I hope you have a great Father’s Day. It’ll take all of us doing our part to build the brightest future possible for our kids.",https://twitter.com/MBK_Alliance/status/1670447456197197825/photo/1,2K,3.8K,27K,6M,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1669393162916200467,Jun 15,"DACA recipients are teachers, service members, business owners, doctors, and parents. They are our friends and neighbors. We are a better nation—a stronger nation—because they’re here.

As we mark the 11th anniversary of DACA, let’s continue to organize and push Congress to build…",,10K,7.4K,44K,7.6M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1668461080689950720,Jun 13,Congrats to the Denver,,2.9K,11K,134K,11M,@Nuggets
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1667563249678548992,Jun 10,"Where does the time go? Happy birthday, Sasha! It’s been the greatest gift to watch you become such a confident, intelligent, and beautiful young woman. Can’t wait to see what this year ahead brings you.",https://twitter.com/BarackObama/status/1667563249678548992/photo/1,15K,20K,387K,24M,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1666887500084965376,Jun 9,"In an important victory for Black Alabamians and voters of color across the country, the Supreme Court has upheld Section 2 of the Voting Rights Act.",https://twitter.com/BarackObama/status/1666887500084965376/analytics,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1664656189165109250,Jun 2,"On National Gun Violence Awareness Day, let’s honor the victims of gun violence – and do what we can to prevent even more tragedies.

Keep using your voice to call for change, keep voting, keep urging Congress to take action. And support the work of organizations like",,8.3K,5.6K,27K,3.5M,@Everytown
https://twitter.com/BarackObama,@BarackObama,https://twitter.com/BarackObama/status/1663994370134278144,Jun 1,"I had fun answering some questions about my work journey. Check it out, and then make sure to watch Working: What We Do All Day on Netflix.",,3.7K,4.1K,30K,4.3M,
