css-4rbku5 href,UserId,Tweet_Url,Date,Tweets,Comments,Retweets,Likes,Impressions,css-4rbku5 3,css-4rbku5 4,css-4rbku5 5,css-4rbku5 6
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1718605318777970721,Oct 29,"Embark on a Journey of a Lifetime: NORTH EAST DISCOVERY

Get ready for an adventure like no other! Join us on the ""NORTH EAST DISCOVERY"" tour by Bharat Gaurav Deluxe AC Tourist Train, an incredible 15-day journey through the enchanting states of Assam, Arunachal Pradesh,…",25,5,38,10K,,,,
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1722533441424797985,23m,"Worried about weight gain?

It's time to try the Lotus Weight Loss Package-16 Nights (SCBSW05A).

Available daily from Raipur.

Book now on",1,2,,680,#DekhoApnaDesh,#Travel,#BookingsOpen,#tickets
https://twitter.com/Bastiaa12106219,Ad,https://www.gamesir.hk/?twclid=23uh2m8qne9465ew21pqdedmyn,,gamesir.hk,131K,,,,,,,
https://twitter.com/IRCTCofficial,·,https://twitter.com/IRCTCofficial/status/1722516099475087590,1h,2023 Tourism fair concluded with interactions and  meetings with the very best from Tourism & Travel industry from all across the globe. We look to carry further the discussions held to deepen the ties with all our interested travel partners.,2,17,1.9K,,,,,
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721798359231737942,Nov 7,"Experience complete rejuvenation with the Lotus Detox Package-Cleanse-Rejuvenate-7 Nights (SCBSW02). 

Starts daily from Raipur.

Book now on",2,10,,2.4K,#DekhoApnaDesh,#Travel,#therapy,#Raipur
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721784436147315136,Nov 7,"Whether you're travelling for work or leisure, ensure a comfortable outing with relaxing hotels on the IRCTC portal.

Go to",2,8,,2.4K,#DekhoApnaDesh,#Travel,#Booking,#Hotel
https://twitter.com/IRCTCofficial,·,https://twitter.com/IRCTCofficial/status/1721769725498417471,Nov 7,http://,3,1,2.5K,8,#DekhoApnaDesh,#Travel,#tickets,#Booking
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721769782507405520,Nov 7,,2,,,1.1K,,,,
https://twitter.com/IRCTCofficial,·,https://twitter.com/IRCTCofficial/status/1721745463966384162,Nov 7,,5,4,5.8K,19,#IRCTC,#WTMLDN2023,#TravelIndia,#IndiaTourism
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721745487462900046,Nov 7,,4,,,1.2K,,,,
https://twitter.com/IRCTCofficial,·,https://twitter.com/IRCTCofficial/status/1721745438708224510,Nov 7,,1,3,2.9K,10,#IRCTC,#WTMLDN2023,#TravelIndia,#IndiaTourism
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721745461286256659,Nov 7,,2,,,1.1K,,,,
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721532810241221003,Nov 6,Celebrate this,3,1,8,4.2K,#Diwali,#Deepotsav,#IRCTC,#Air
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721408815541969085,Nov 6,"Are you looking for hotels with a WiFi connection?

Go to",2,2,10,4.1K,#DekhoApnaDesh,#Travel,#hotelroom,#hoteles
https://twitter.com/buddhistrain,@buddhistrain,https://twitter.com/buddhistrain/status/1721176716432040429,Nov 5,Search for the,2,6,,2.9K,#Buddha,#Sravasti,#BuddhistCircuitTouristTrain,#BuddhistHistory
https://twitter.com/IRCTCofficial,@IRCTCofficial,https://twitter.com/IRCTCofficial/status/1721131275900350896,Nov 5,November is the time to,1,1,11,4.5K,#KnowTheWorld,#IRCTC,#Air,#AirTravel
https://twitter.com/eCateringIRCTC,@eCateringIRCTC,https://twitter.com/eCateringIRCTC/status/1721128510268592598,Nov 5,Dhokla or Cheese Dosa? What would you prefer while watching an,2,2,9,3.8K,#ICCWorldCup,#FoodOnTrack,#trainfood,#foodintrain
https://twitter.com/Maharajas_Exp,@Maharajas_Exp,https://twitter.com/Maharajas_Exp/status/1720701065903878380,Nov 4,Planning a,5,14,,4.6K,#RoyalTravel,#DekhoApnaDesh,#Travel,#BOOKINGS
