css-4rbku5 href,css-901oao,UserId,Tweet_Url,Date-time,Tweets,Comments,Retweets,Likes,css-4rbku5 href 6,Impressions,r-4qtqp9 src,css-4rbku5 2,css-4rbku5 href 7,css-4rbku5 3,css-4rbku5 href 8,css-4rbku5 4,css-4rbku5 href 9,css-4rbku5 5,css-4rbku5 href 10
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721789519211753742,10m,Moye Moye,6,1,131,https://twitter.com/RVCJ_FB/status/1721789519211753742/analytics,2K,,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721786785385349391,21m,That Moment!,11,9,241,https://twitter.com/RVCJ_FB/status/1721786785385349391/analytics,3.8K,,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721783772729774485,33m,,15,46,1.3K,https://twitter.com/RVCJ_FB/status/1721783772729774485/analytics,10K,,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721781100736057467,44m,Life Goal,20,11,399,https://twitter.com/RVCJ_FB/status/1721781100736057467/analytics,7.3K,https://abs-0.twimg.com/emoji/v2/svg/1f61b.svg,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721565195263439161,15h,Bangladesh beats Sri Lanka by 3 Wickets,32,167,4.1K,https://twitter.com/RVCJ_FB/status/1721565195263439161/analytics,51K,,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721563174292627894,15h,This Lafda Not Getting Stop,17,54,1.9K,https://twitter.com/RVCJ_FB/status/1721563174292627894/analytics,28K,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721557766538707185,15h,Nagin Dance,18,21,656,https://twitter.com/RVCJ_FB/status/1721557766538707185/analytics,11K,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721555576055075071,15h,Sabka Time Aate Hai Shakib Bhai,78,289,7K,https://twitter.com/RVCJ_FB/status/1721555576055075071/analytics,152K,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721553521391341725,15h,Mathews After Shakib's wicket,10,36,1K,https://twitter.com/RVCJ_FB/status/1721553521391341725/analytics,20K,,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721552960650706982,15h,The Moment Of The Match,34,347,5.9K,https://twitter.com/RVCJ_FB/status/1721552960650706982/analytics,100K,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,#SLvBAN,https://twitter.com/hashtag/SLvBAN?src=hashtag_click,#ODIWorldCup2023,https://twitter.com/hashtag/ODIWorldCup2023?src=hashtag_click,#ICCWorldCup2023,https://twitter.com/hashtag/ICCWorldCup2023?src=hashtag_click,#SLvsBAN,https://twitter.com/hashtag/SLvsBAN?src=hashtag_click
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721548149389681103,16h,Bas Kya Bhai,28,119,4.5K,https://twitter.com/RVCJ_FB/status/1721548149389681103/analytics,59K,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721545317466980418,16h,Artificial Rain,38,55,1.5K,https://twitter.com/RVCJ_FB/status/1721545317466980418/analytics,48K,,,,,,,,,
https://twitter.com/RVCJ_FB,RVCJ Media,@RVCJ_FB,https://twitter.com/RVCJ_FB/status/1721525979745603778,17h,Sachin Tendulkar met Afghanistan Players,16,65,1.7K,https://twitter.com/RVCJ_FB/status/1721525979745603778/analytics,19K,,,,,,,,,
