css-4rbku5 href,UserId,Tweet_Url,Date-Time,Tweets,Comments,Retweets,Likes,Impressions,r-1p0dtai src,Retweet,Like
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722555365026357427,1h,"Every time Rasmus Hojlund has scored a goal, Manchester United have lost.",249,1K,19K,361K,,,
https://twitter.com/havertzooc,@havertzooc,https://twitter.com/havertzooc/status/1722515100563562496,4h,,58,148,1.1K,184K,blob:https://twitter.com/2661579d-21f7-441b-a3ab-7be30b149f61,From,Max_Silver
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722532311290306868,2h,Group A of Champions League,440,4.3K,70K,2.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722386505535025385,12h,Ronaldo fans are loving this Man United downfall,316,1.3K,23K,759K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722381396214157603,12h,Ciao Man United,369,2.8K,40K,1.4M,,,
,,,,,,,,,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722368995091681510,13h,Man United fans watching a VAR decision go their way,139,633,8K,445K,blob:https://twitter.com/b15fc270-869f-4cb9-b3ee-cfeceebd9911,From,Muktar المختار Anoze𓃵
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722360406679699927,14h,"""That baldy still trusts me bro. Don't worry I will make sure he's gone before you.""",234,2K,29K,877K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722358491967324351,14h,Manchester United this season,424,3.8K,39K,1.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722356228045603143,14h,"Rashford in Champions League this season:

Goal/Assist: 0
Red Card: 1",292,1.7K,27K,968K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722346626088395177,15h,Accurate,259,3.1K,69K,2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722343728856039565,15h,Royal Antwerp,146,2.4K,23K,938K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722336935731953952,15h,Real Madrid fans these days,142,916,19K,556K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722293243121906096,18h,"Tree vs Lewandowski

(",370,1.7K,32K,2M,,,
https://twitter.com/currys,@currys,https://twitter.com/currys/status/1722253386601668872,21h,GIF,20,58,541,333K,https://video.twimg.com/tweet_video/F-asUqnbsAAWmJ7.mp4,read image description,ALT
https://twitter.com/currys,@currys,https://twitter.com/currys/status/1722253386601668872,21h,GIF,20,58,541,333K,https://video.twimg.com/tweet_video/F-asUqnbsAAWmJ7.mp4,read image description,ALT
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722239115142615337,22h,What Chelsea needed to do against 9 man Tottenham,From,Anthony Shaw,310,1.6K,blob:https://twitter.com/aafed280-e288-40a1-b9a5-34256ee48b9a,,
https://twitter.com/SonDokuu,@SonDokuu,https://twitter.com/SonDokuu/status/1722225373793189989,23h,,9,61,2.7K,296K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1722207566799978984,Nov 8,"AC Milan keeper Maignan: ""Babe wait there's a counter attack.""  

""Ahh do not end the call.. it's just Dembele.""",686,9.1K,136K,7.4M,,,
https://twitter.com/BTC365OFFICIAL,@BTC365OFFICIAL,https://twitter.com/BTC365OFFICIAL/status/1722137073438826551,Nov 8,We are celebrating with a spectacular giveaway!,14,10,65,94K,,"Follow these steps: 

1. Follow Us
2. Sign up on:",http://
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721969987739341253,Nov 8,Danylo Sikan scored against Barca and dropped the Bellingham celebration infront on them.,222,1.1K,22K,753K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721958224453042658,Nov 8,Barca are losing to a club whose country has been at war since 18 months,555,4K,73K,3.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721949179113570488,Nov 7,Chelsea showing everyone how to beat Tottenham,817,9.3K,57K,5.1M,blob:https://twitter.com/a7f184c0-35ce-4c1a-b036-001a1c19c17f,From,TF Videos
https://twitter.com/1xBet_Eng,@1xBet_Eng,https://twitter.com/1xBet_Eng/status/1721919374938849415,Nov 7,Who will me the best player of,164,75,195,248K,,"Follow our page, drop a comment with your ID and we’ll give $10 promo code for",
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721903931918532897,Nov 7,The Karen of football clubs,379,2.1K,26K,1.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721885204284088695,Nov 7,"Hello mam, can Yamal come to play with us? We got a Champions League game tonight.",,,425,5.8K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721852246940438708,Nov 7,Chelsea after beating 9 man Tottenham,1K,9.4K,116K,6.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721846428501238258,Nov 7,When you realise there's ANOTHER international break after this weekend,246,1.8K,18K,1.7M,blob:https://twitter.com/c6ae9b78-9ada-4b86-b0c3-92b65c1ab68b,From,Paddy Power
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721846428501238258,Nov 7,When you realise there's ANOTHER international break after this weekend,246,1.8K,18K,1.7M,blob:https://twitter.com/c6ae9b78-9ada-4b86-b0c3-92b65c1ab68b,From,Paddy Power
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721656627122569414,Nov 7,"Enzo, Caicedo, Mudryk, Jackson, Palmer, etc etc etc tasting top half of the Premier League for the 1st time since they joined Chelsea",334,3.5K,37K,2.6M,blob:https://twitter.com/9e25a629-5d6b-4874-a300-18ad6d9ad613,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721652716470935965,Nov 7,Nicolas Jackson scored a Premier League hattrick before Marcus Rashford,1.1K,12K,103K,7.7M,blob:https://twitter.com/09013cc0-e36d-4828-beff-bc5b85d1425d,From,TF Videos
https://twitter.com/Immutable,@Immutable,https://twitter.com/Immutable/status/1722495407765529057/photo/1,,Immutable,"Ubisoft's Strategic Innovation Lab

Immutable, the leading web3 gaming platform, is joining forces with Ubisoft's Strategic Innovation Lab to create a new gaming experience to further unlock benefits for players through the power of web3.

This is another significant…",Show more,261,432,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721651444732858701,Nov 7,Chelsea wishes they could play Tottenham every week,372,5.3K,57K,2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721649841892151416,Nov 7,Sanchez and Bentancur got a bit romantic,187,1.5K,33K,1.3M,,,
https://twitter.com/footballtips,@footballtips,https://twitter.com/footballtips/status/1721608571920552088,Nov 7,OUR EXPERTS HAVE BACKED THIS FOR,26,10,128,108K,,,https://
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721589970362654837,Nov 6,Bro thinks he is Bellingham,878,3.4K,91K,4.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721541951798005786,Nov 6,Twins,193,2K,51K,1.8M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721529725615575390,Nov 6,"It's Tottenham vs Chelsea tonight. This London derby is fierce and full of cards.

Get over 5.5 total bookings @ MASSIVE 1.86",105,24,414,220K,,Bet here on VAVE ➤,https://
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721518753374994514,Nov 6,Ancelotti confirms Bellingham has injured himself after carrying Real Madrid on his back all season.,401,4.6K,97K,3.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721490203322290622,Nov 6,Girona at top of the La Liga table,680,6K,107K,4.6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721468753983029554,Nov 6,"Only the elites will get this

(",191,774,9.8K,814K,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721308221338513713,Nov 6,Mbappe corner taken quickly...,766,4.9K,127K,20M,blob:https://twitter.com/3f6f9d98-4848-47bf-a7a1-0fcfa42e13ac,From,Mo
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721288923287003496,Nov 6,When she wears your favourite perfume,289,2.7K,41K,1.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721308221338513713,Nov 6,Mbappe corner taken quickly...,766,4.9K,127K,20M,blob:https://twitter.com/3f6f9d98-4848-47bf-a7a1-0fcfa42e13ac,From,Mo
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721287314310152556,Nov 6,Vinicius and Rodrygo tonight for Real Madrid,276,2.2K,52K,1.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721258280956080454,Nov 6,Academy reject vs €100m star signing,182,1.8K,31K,1.6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721253356046311618,Nov 6,Darwin Nunez against Luton Town,186,1.2K,22K,1.1M,blob:https://twitter.com/21f87cf8-6915-4bac-a1a1-7d5356df9526,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721233689751793765,Nov 6,Antony had to reveal the message before kick off because he knew he wasn't scoring while Diaz was subbed in on 83rd minute and still delivered the message.,571,7K,86K,5.3M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1721230911864230077,Nov 5,POV: Darwin Nunez is cooking,557,5.7K,65K,4.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720918856561000697,Nov 5,10/10 diving,377,2.4K,39K,3M,blob:https://twitter.com/15493c7e-cc19-413f-8927-468d34333961,From,Colmanın Bandanası
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720897910877962364,Nov 5,Late drama at St. James' park,340,3.5K,42K,2.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720892589337936063,Nov 5,Bayern Munich’s last 10 Bundesliga games against Dortmund:  WWWWWWWDWW,149,1.6K,36K,1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720890620770754815,Nov 5,Accurate,184,2.6K,39K,1.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720889056077197562,Nov 5,Saka against Newcastle United,595,3.6K,40K,1.9M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720886810870518210,Nov 5,"League Cup: West Ham 3-1 Arsenal

Arsenal fans: We got knocked out to focus on the league.

Premier League: Newcastle United 1-0 Arsenal",405,5K,48K,3M,blob:https://twitter.com/81576e80-ad85-44ec-b270-f7724f0c11be,From,Allan Saint-Maximin
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720886033070313491,Nov 5,Borussia Dortmund's new owner,178,1.8K,67K,1.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720885187477696555,Nov 5,"Wednesday: FC Saarbrücken 2-1 Bayern Munich

Today: Borussia Dortmund 0-4 Bayern Munich",139,1.9K,32K,1.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720884124678750583,Nov 5,Welcome to the 'robbed by VAR' group Arsenal,640,7.6K,60K,3.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720811849652773025,Nov 4,VAR referee watching Man Utd score a 91st min winner,313,5.1K,46K,2.4M,blob:https://twitter.com/0d1e6b8f-1e74-4b99-835f-19e16bea9e30,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720785501454467364,Nov 4,VAR thinking of new rules to disallow a Man Utd goal,402,7.3K,64K,3.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720783543301734498,Nov 4,"*Manchester United scores a goal.*

VAR:",302,4.4K,37K,2.2M,blob:https://twitter.com/73f87244-6670-4036-8297-526f2bdb192e,From,M
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720749681481793600,Nov 4,Ballon d'Or all time ranking,520,2.8K,51K,3M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720530517223772359,Nov 4,And the Oscar goes to...,1K,3.7K,43K,4.3M,,From,fmyedek
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720493613258244537,Nov 3,New Record,938,7.4K,111K,4.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720441859955163474,Nov 3,"Julian Alvarez supremacy

(",154,953,18K,1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720419923636211848,Nov 3,Today's date,424,4.1K,62K,2.9M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720405609772662996,Nov 3,The Manchester United cycle,422,5.4K,57K,2.7M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720373589642256796,Nov 3,Speed doesn't agree with the Ballon d'Or result,411,2.7K,30K,2.4M,blob:https://twitter.com/44171736-31c3-4820-b56d-073632852d2a,From,TF Videos
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720174749219778996,Nov 3,Antony when he's against a defender,958,7.6K,62K,6.3M,blob:https://twitter.com/adc820bb-6018-4a54-a423-10b6a70e160f,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720133172866720193,Nov 2,Manchester United has a message for their fans,806,8.8K,98K,4.5M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1720085712064991260,Nov 2,How will I explain to my kids that Darwin Nunez missed the 1st chance but scored from the 2nd.,650,5.1K,85K,6M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719827666528821631,Nov 2,West Ham vs Arsenal highlights,218,2.4K,34K,1.1M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719824012610621628,Nov 2,Onana took Halloween too seriously and was trying to scare the ball away,516,4.9K,62K,2.4M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719820531162107949,Nov 2,Man United fans right now,642,5.7K,103K,3.2M,,,
https://twitter.com/TrollFootball,@TrollFootball,https://twitter.com/TrollFootball/status/1719818159283126339,Nov 2,Ten Hag can't even cook instant noodles,505,6.5K,69K,3M,,,
