css-4rbku5 href,css-901oao,UserId,Tweet_Url,Date-Time,Tweets,css-9pa8cd src 2,Comments,Retweets,Likes,Impressions,css-4rbku5 2,css-4rbku5 3,css-4rbku5 4
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1721767079005782374,1h,"Traffic Alert
Traffic will remain heavy on Ring Road in the carriageway from Raja Garden towards Delhi Cantt. Metro Station due to breakdown of a truck on Mayapuri flyover.
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F-TyBDCbQAAiD_7?format=jpg&name=small,12,8,9,5.1K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1721753516946166265,2h,MGV has been removed.,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,1,10,·,2.4K,,,
https://twitter.com/premiumcricline,premium cricket line,@premiumcricline,https://premiumcricketline.com/?twclid=2-5sz4f8li27j31d64r007ujzfo,,"Get set for the ultimate cricket contest! The arena is ready, and the thrill awaits. Are you ready?",https://pbs.twimg.com/media/F6hk_rjbIAAR8JB?format=jpg&name=120x120,Sign up to get a 500 INR free bonus!,"Win daily cash prizes of Rs. 100,000!",You Can win a fantastic trip to Goa!,We're here 24x7 to assist you.,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1721721330335457476,4h,"Traffic Alert
Traffic will remain heavy on Ring Road in the carriageway from Mayapuri towards Delhi Cantt. Metro Station due to breakdown of a MGV on Naraina flyover 

Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F-TH9kaaMAAo3Rz?format=jpg&name=900x900,2,5,9,5.6K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1721535014956138688,17h,Taking forward our efforts to spread,https://pbs.twimg.com/ext_tw_video_thumb/1721534249961152512/pu/img/lfrWFr92MwjbylTo.jpg,2,1,13,3.3K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/DelhiPolice,Delhi Police,@DelhiPolice,https://twitter.com/DelhiPolice/status/1721010735411810539,Nov 5,Follow traffic and safety rules to avoid jumbling your life with accidents.,https://pbs.twimg.com/ext_tw_video_thumb/1721010706529566720/pu/img/rgb_Z1H9aAG-EIL7.jpg,8,34,92,10K,#DelhiPolice,#RoadSafety,#DontDrinkAndDrive
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720849907903607115,Nov 4,HTV has been removed.,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,1,3,16,6.3K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720790569562382381,Nov 4,"Traffic Alert
Traffic is affected on NH-48 in the carriageway from GGR flyover towards Mahipalpur  due to breakdown of a bus on GGR flyover.
Commuters are advised to plan their journey accordingly",https://pbs.twimg.com/media/F-F54IYa0AAY3of?format=jpg&name=small,3,16,,5.1K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720790373675696197,Nov 4,In continuation our efforts to spread,https://pbs.twimg.com/ext_tw_video_thumb/1720790055240024064/pu/img/mc5XQbJVNcoYvirD.jpg,1,2,16,4K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720780413453672562,Nov 4,"In continuation of our efforts to make children aware, the",https://pbs.twimg.com/media/F-FwoKzbYAAkW5B?format=jpg&name=360x360,2,16,,4.2K,#RoadSafety,#DelhiTrafficPolice,#Awareness
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720768373573984612,Nov 4,"Traffic Alert
Traffic is affected in the carriageway from Bhajanpura towards Gokulpuri due to breakdown of an HTV near Khajuri flyover. 
Commuters are advised to plan their journey accordingly.",https://pbs.twimg.com/media/F-Fltkta4AEN06_?format=jpg&name=900x900,4,12,,10K,,,
https://twitter.com/MyIndusIndBank,IndusInd Bank,@MyIndusIndBank,https://twitter.com/hashtag/CheerForGreatness?src=hashtag_click,#CheerForGreatness,"Honouring the realm of those, who redefined the spirit of the game.
Get ready to relive the glory as the two Titans clash again! Join us as we",https://pbs.twimg.com/ext_tw_video_thumb/1720817052469059584/pu/img/iR1U8Rl6tzPWJqA4.jpg,.,,,,#CWC23,#INDvsSA,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720761690890088770,Nov 4,Bus has been removed.,https://pbs.twimg.com/profile_images/1691678203486879745/YUTdhCiB_normal.jpg,2,6,,5.1K,,,
https://twitter.com/dtptraffic,Delhi Traffic Police,@dtptraffic,https://twitter.com/dtptraffic/status/1720069894442742150,Nov 2,"In continuation of our efforts to inculcate road sense in children, the",https://pbs.twimg.com/ext_tw_video_thumb/1720068117936967680/pu/img/egwO3C4O1Du_vXsD.jpg,3,5,14,5.2K,#RoadSafety,#DelhiTrafficPolice,#Awareness
