css-901oao,css-4rbku5 href,UserId,Tweet_Url,Date,Tweets,Comments,Retweets,Likes,Likes
Pinned,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1323213664074293248,"Nov 2, 2020",Happy Birthday,44,794,3.7K,
638,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1723619269785837951,2h,"Okay thanks, bye",1,1,11,
4.5K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1723222289960042788,Nov 11,"IF you don't believe in yourself, who will?",10,10,299,
1.6K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1722822586621731236,Nov 10,Just decide and never look back,2,5,23,
Pinned,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1323213664074293248,"Nov 2, 2020",Happy Birthday,44,794,3.7K,
2.1K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1722692850687865149,Nov 10,Do you journal?,2,2,29,
Who to follow,,,,,,,,,
Karishma Tanna Bangera,https://twitter.com/KARISHMAK_TANNA,Follow,https://t.co/86MwWqiohP,Instagram.com/karishmaktanna/,Actor| Official Instagram -,,,,
SONAL CHAUHAN,https://twitter.com/sonalchauhan7,Follow,,,ACTOR ! Sinner… Saint …,,,,
Mahekk Chahal,https://twitter.com/MaheckChahal,Follow,,,Official Twitter of Maheck Chahal,,,,
Show more,https://twitter.com/i/connect_people?user_id=223569986,,,,,,,,
16K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1722330475073810764,Nov 9,Smile often :) change your state by simply smiling and stop any n all negative thoughts!,20,23,1K,
Sana Saeed,https://twitter.com/sanasaeed17,·,https://twitter.com/sanasaeed17/status/1722822586621731236,Nov 10,2,23,1.6K,,
2.1K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1722149585291035071,Nov 8,"You are literally the creator of your life. You can have, be or do anything",2,1,22,
4.9K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1721055131226247652,Nov 5,Have a lot of fun here,5,6,200,while you can
3K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1719923960861892833,Nov 2,,3,6,72,
11K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1719598703928119573,Nov 1,Have the best day ever,13,17,650,
3.1K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1719234772550271423,Oct 31,,4,5,37,
5.1K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1718840487178825843,Oct 30,,4,3,156,
6K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1718566502289572152,Oct 29,On my way to,9,11,273,
2.2K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1718044313979154487,Oct 28,Remember,4,1,23,
6.3K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1717730922785804751,Oct 27,"There are so many things going right for you, right as of now",4,12,321,"Focus on the good, everything else will follow"
2.3K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1717439903531925575,Oct 26,,1,17,,
3.7K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1716681911790440957,Oct 24,"We don’t emphasize this enough, but a nice long walk can do so much for your physical and mental health. Take yourself out for a walk today",2,2,27,
3.9K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1716586205826228250,Oct 24,Did you prefer twitter or X and why ?,5,20,,
32K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1716332530125922378,Oct 23,I am the Wilderness,28,34,970,
18K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1715929561043796118,Oct 22,,23,23,862,
10K,https://twitter.com/sanasaeed17,@sanasaeed17,https://twitter.com/sanasaeed17/status/1715584629686841384,Oct 21,Mood,20,13,500,
41K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713772841626484916,Oct 16,A film & emotion for an entire millennia!,11,312,890,"A story with characters, moments & music that left an indelible mark on your heart, taking you through the unforgettable journey of pyaar & dosti. Celebrating"
19K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713518514022257040,Oct 15,It all happens,5,100,563,KAL
18K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713625395243930041,Oct 16,Happy birthday,8,123,520,!
41K,https://twitter.com/DharmaMovies,@DharmaMovies,https://twitter.com/DharmaMovies/status/1713772841626484916,Oct 16,A film & emotion for an entire millennia!,11,312,890,"A story with characters, moments & music that left an indelible mark on your heart, taking you through the unforgettable journey of pyaar & dosti. Celebrating"
