userId_url,css-4rbku5 href 2,css-901oao,UserId,Tweet_Url,Date-Time,Tweets,css-4rbku5 2,css-4rbku5 href 5,tweets,css-4rbku5 href 6,attached_media,css-4rbku5 href 7,comments,retweets,Comments,Retweets,Likes,css-4rbku5 href 8,Impressions,css-4rbku5 3,css-4rbku5 href 9,css-901oao 14
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1720091038319366357,Nov 2,A song 40 years in the making —,@thebeatles,https://twitter.com/thebeatles,’ 'Now and Then’ is available on Apple Music today!,https://t.co/U9zdJC9eKd,https://pbs.twimg.com/card_img/1717912520399437825/Y4DKqt30?format=jpg&name=240x240,https://t.co/U9zdJC9eKd,music.apple.com,Now And Then - Single by The Beatles,236,479,3.5K,https://twitter.com/tim_cook/status/1720091038319366357/analytics,494K,,,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1719801176622022976,Nov 2,"This Native American Heritage Month, we celebrate and recognize the rich cultures and traditions of Native communities and their countless contributions to our world.",,,,,,,,,236,242,2.4K,https://twitter.com/tim_cook/status/1719801176622022976/analytics,469K,,,
https://twitter.com/gregjoz,https://twitter.com/gregjoz,Greg Joswiak,@gregjoz,https://twitter.com/gregjoz/status/1719428586694656113,Nov 1,"Apple's ""Scary Fast"" event was",,,! Go behind the scenes to see iPhone 15 Pro Max in action:,https://twitter.com/tim_cook,https://pbs.twimg.com/amplify_video_thumb/1719426942032613376/img/9CmiBVsyRFcU8BT-.jpg,https://twitter.com/hashtag/ShotoniPhone?src=hashtag_click,reposted,Tim Cook,142,742,4K,https://twitter.com/gregjoz/status/1719428586694656113/analytics,450K,#ShotoniPhone,,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1719160580182020537,Oct 31,"Introducing the new MacBook Pro lineup and iMac with the most advanced chips ever built for a personal computer. Say hello to M3, M3 Pro, and M3 Max—the latest breakthroughs in Apple silicon!",#AppleEvent,https://twitter.com/hashtag/AppleEvent?src=hashtag_click,,,https://pbs.twimg.com/ext_tw_video_thumb/1719159912046153728/pu/img/sdzExm8P3HfJZ9bG.jpg,,,,980,3K,20K,https://twitter.com/tim_cook/status/1719160580182020537/analytics,2.3M,,,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1719021344854069441,Oct 30,"We’ve got something special for you tonight. No tricks, just treats. Tune in at 5pm PT.",#AppleEvent,https://twitter.com/hashtag/AppleEvent?src=hashtag_click,,https://twitter.com/tim_cook/status/1719021344854069441/photo/1,https://pbs.twimg.com/media/F9qOW5GagAA-TKh?format=jpg&name=small,,read image description,ALT,1.4K,4.2K,48K,https://twitter.com/tim_cook/status/1719021344854069441/analytics,4.2M,,,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1707389354644025436,Sep 28,"Apple has a 40-year history in the UK, so we were honored to have a chance to restore the Battersea Power Station and make it the location of our UK headquarters and our newest store, Apple Battersea! Thank you to our customers—and the incredible teams who support them!",,,,,https://pbs.twimg.com/media/F7HdjCYWkAAGJpm?format=jpg&name=small,,read image description,ALT,203,451,6.6K,https://twitter.com/tim_cook/status/1707389354644025436/analytics,574K,,https://twitter.com/tim_cook/status/1707389354644025436/photo/1,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1707122421029810351,Sep 28,"Thanks to investments in renewable energy projects like this solar farm in Thisted Denmark, Apple has been running on 100% renewable energy since 2018. We plan to be carbon neutral for all of our products by 2030.",,,,,https://pbs.twimg.com/media/F7DqucNXYAA77NE?format=jpg&name=small,,read image description,ALT,231,482,6.2K,https://twitter.com/tim_cook/status/1707122421029810351/analytics,538K,,https://twitter.com/tim_cook/status/1707122421029810351/photo/1,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1707056031971344588,Sep 27,.,@LukasGraham,https://twitter.com/LukasGraham,lead singer Lukas Forchhammer welcomed me into his Copenhagen studio where I had the chance to listen to a few incredible songs in Spatial Audio. Thanks so much for spending the time—and for sharing your creativity in action.,,https://pbs.twimg.com/amplify_video_thumb/1707055095341371392/img/SjcSYgIiG6VMJxLE.jpg,,,,113,312,4.5K,https://twitter.com/tim_cook/status/1707056031971344588/analytics,626K,,,
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1706962193680318672,Sep 27,Europe's developers are tackling climate change creatively!,@TooGoodToGo,https://twitter.com/TooGoodToGo,,,https://pbs.twimg.com/media/F7BZDp7WkAAqBws?format=jpg&name=small,,read image description,ALT,178,396,4.8K,https://twitter.com/tim_cook/status/1706962193680318672/analytics,482K,,https://twitter.com/tim_cook/status/1706962193680318672/photo/1,Min Strøm empowers people to adjust their electricity usage
https://twitter.com/tim_cook,https://twitter.com/tim_cook,Tim Cook,@tim_cook,https://twitter.com/tim_cook/status/1706742184836227513,Sep 27,Thank you to,@rasmusbrohave,https://twitter.com/RasmusBrohave,for showing me around Copenhagen and its beautiful historic canal in Nyhavn!,https://twitter.com/tim_cook/status/1706742184836227513/photo/1,https://pbs.twimg.com/media/F6-Q50tWoAAzJUB?format=jpg&name=small,,read image description,ALT,334,586,14K,https://twitter.com/tim_cook/status/1706742184836227513/analytics,1.7M,,,
