UserId,Tweet_Url,Date-Time,LIkes,Comments,Retweets,,Tweets
@kqthonyfilms,https://twitter.com/kqthonyfilms/status/1725381169737310409,8h,2,21,163,2.2K,"one day, they’re taking their first steps and the next, they’re off to college :’)"
@wylieesofia,https://twitter.com/wylieesofia/status/1725456216346824870,3h,1,4,,109,FACE CARD HAS NEVER DECLINED
@wylieesofia,https://twitter.com/wylieesofia/status/1725455963514102049,3h,2,,,78,they both look so stunning
@sofiawyie,https://twitter.com/sofiawyie/status/1725349156443861406,10h,4,26,212,3K,this is rickys favorite photo of gina
@wylieesofia,https://twitter.com/wylieesofia/status/1679449946628448256,Jul-13,1,2,49,45K,
@sofiawyie,https://twitter.com/sofiawyie/status/1725349156443861406,10h,4,26,213,3K,this is rickys favorite photo of gina
,,,,,,,
Follow,,,,,,,
Follow,,,,,,,
Follow,,,,,,,
,,,,,,,
@wylieesofia,https://twitter.com/wylieesofia/status/1725442807895093262,4h,10,,,104,she’s so gorgeous
@wylieesofia,https://twitter.com/wylieesofia/status/1725455963514102049,3h,2,,,78,they both look so stunning
@wylieesofia,https://twitter.com/wylieesofia/status/1725431899563184268,4h,12,,,149,she’s so beautiful
@wylieesofia,https://twitter.com/wylieesofia/status/1725412710630744532,6h,6,,,116,goodmorning <3
@wylieesofia,https://twitter.com/wylieesofia/status/1725442807895093262,4h,10,,,104,she’s so gorgeous
@wylieesofia,https://twitter.com/wylieesofia/status/1725300403447730392,13h,2,,,122,goodnight <3
@wylieesofia,https://twitter.com/wylieesofia/status/1725299307497021464,13h,3,,,215,real
@wylieesofia,https://twitter.com/wylieesofia/status/1725299179809808478,13h,1,,,199,IM UP
@wylieesofia,https://twitter.com/wylieesofia/status/1725298174602928505,13h,6,,,256,cindy lou who got me like this
@wylieesofia,https://twitter.com/wylieesofia/status/1725292593813082559,14h,22,,,395,"and we stan! i mean it’s ricky bowen we’re talking about, i’d move across the world for that boy and i know gina would too"
@wylieesofia,https://twitter.com/wylieesofia/status/1725299179809808478,13h,1,,,199,IM UP
@wylieesofia,https://twitter.com/wylieesofia/status/1725288505952055738,14h,4,,,168,i love her bad
@wylieesofia,https://twitter.com/wylieesofia/status/1725298174602928505,13h,6,,,256,cindy lou who got me like this
@wylieesofia,https://twitter.com/wylieesofia/status/1725288505952055738,14h,4,,,168,i love her bad
@wylieesofia,https://twitter.com/wylieesofia/status/1725284761671733351,14h,1,,,121,my family forever
@wylieesofia,https://twitter.com/wylieesofia/status/1725284616750195177,14h,2,102,,903,SHUT UP SHES SO STUNNING
@wylieesofia,https://twitter.com/wylieesofia/status/1725283700261208517,14h,1,11,,253,josh’s version of puppy love means everything to me like he sounds so good
@wylieesofia,https://twitter.com/wylieesofia/status/1725283074592702511,14h,6,30,36,7.9K,you know this album? quote it
@wylieesofia,https://twitter.com/wylieesofia/status/1725288505952055738,14h,4,,,168,i love her bad
@wylieesofia,https://twitter.com/wylieesofia/status/1725284761671733351,14h,1,,,121,my family forever
@wylieesofia,https://twitter.com/wylieesofia/status/1725282197555368434,14h,1,3,,355,"fruitcake ranking after first listen: 
1. cindy lou who 
2. santa doesn’t know you like i do 
3. is it new years yet? 
4. buy me presents"
@wylieesofia,https://twitter.com/wylieesofia/status/1725280915432047094,14h,4,46,,601,he’s so pretty
@wylieesofia,https://twitter.com/wylieesofia/status/1725280511398949209,14h,1,,,81,one of my fave xmas songs
@wylieesofia,https://twitter.com/wylieesofia/status/1725284761671733351,14h,1,,,121,my family forever
@wylieesofia,https://twitter.com/wylieesofia/status/1725280915432047094,14h,4,46,,601,he’s so pretty
@wylieesofia,https://twitter.com/wylieesofia/status/1725279847595827683,14h,2,,,128,guys it’s so incredible. sabrina carpenter did it again
@wylieesofia,https://twitter.com/wylieesofia/status/1725279516036129224,14h,2,,,240,34 years ago!?!?! shut up
@wylieesofia,https://twitter.com/wylieesofia/status/1725279391305863471,14h,1,52,346,7.5K,they made this happen
@wylieesofia,https://twitter.com/wylieesofia/status/1725277006298845573,15h,3,,,201,IM SO READY
@wylieesofia,https://twitter.com/wylieesofia/status/1725280915432047094,14h,4,46,,601,he’s so pretty
@wylieesofia,https://twitter.com/wylieesofia/status/1725276569193578532,15h,,,,200,i’m so ready for their endgame
@wylieesofia,https://twitter.com/wylieesofia/status/1725276122118520929,15h,5,,,179,ITS HEREE
@wylieesofia,https://twitter.com/wylieesofia/status/1725273454268576095,15h,,,,88,i’m obsessed it’s SO GOOD
@wylieesofia,https://twitter.com/wylieesofia/status/1725271892230099212,15h,6,54,,823,sofia wylie our #1 rina warrior
@wylieesofia,https://twitter.com/wylieesofia/status/1725276569193578532,15h,,,,200,i’m so ready for their endgame
@wylieesofia,https://twitter.com/wylieesofia/status/1725271892230099212,15h,6,54,,823,sofia wylie our #1 rina warrior
@wylieesofia,https://twitter.com/wylieesofia/status/1725270666578960869,15h,26,103,,1.4K,this is perfect in every way
@wylieesofia,https://twitter.com/wylieesofia/status/1725267375748989260,15h,1,1,,147,MEE YAY
